CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,1,MIXTA,B,102,99,160,12,9,3,12,4,0,0,7,8,3,416,17,436,703,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,1,M,,-0.23278648047454648,1,2,11.2
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,1,MIXTA,C01,90,104,170,7,9,8,9,6,0,0,2,10,1,415,25,441,703,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,1,M,,-0.07356925706527184,1,2,11.2
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,2,MIXTA,B,106,78,160,7,11,7,15,12,0,0,0,4,0,400,16,416,692,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,2,M,,-0.3861675112730034,1,2,11.2
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,2,MIXTA,C01,114,79,158,8,17,7,12,7,0,0,1,13,1,416,22,439,692,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,2,M,,-0.5075793349150878,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,3,MIXTA,B,93,46,105,3,5,5,4,4,0,0,5,7,1,277,18,296,453,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,3,M,,-0.997657324011211,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,3,MIXTA,C01,85,53,107,6,6,6,7,3,0,0,2,5,0,280,17,297,453,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,3,M,,-0.887588449319852,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,4,URBANA,B,90,52,101,8,7,5,5,6,0,0,1,3,1,278,24,303,493,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,4,U,,-0.8537445292441459,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,4,URBANA,C01,78,67,101,6,7,2,5,4,0,0,3,2,3,275,17,295,493,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,4,U,,-0.6320735422475068,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,5,MIXTA,B,91,71,135,13,11,1,6,8,0,0,2,3,0,341,10,351,529,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,5,M,,-0.5282580494372658,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,5,MIXTA,C01,67,63,148,22,10,1,7,5,0,0,2,7,0,332,25,357,529,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,5,M,,-0.6331491733090988,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,6,RURAL,B,38,49,152,11,5,3,19,5,0,0,0,4,0,286,26,312,437,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,6,R,,-0.7455378976870883,1,1,11.1
5,16,MICHOACAN,11,19,TAĆMBARO,1,ACUITZIO,7,RURAL,B,90,42,196,13,6,1,9,3,0,0,1,7,1,368,19,388,585,ACTA CASILLA,NA,NA,NA,11,19,1,ACUITZIO,7,R,,-1.0694631923830513,1,1,11.1
