CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,VOTOS_CAND_NREG_17ene16,VOTOS_VALIDOS_17ene16,VOTOS_NULOS_17ene16,VOTOS_TOTAL_17ene16,LISTA_NOMINAL_17ene16,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,6,COLIMA,0,COLIMA,0,,0,EXTRANJERO,M,10,17,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,35,NA,,NA,NA,JE2015L_06_01_0000_1_M_0_2.jpg,NA,NA,NA,,NA,,NA,-1.2189347690560255,1,1,0.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),B,137,151,5,8,5,99,20,2,0,4,0,0,0,0,1,0,0,0,0,0,0,432,6,438,688,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_1_B_0_2.jpg,1,6,1,COLIMA,1,U,NA,0.9558632401263087,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C01,166,141,6,3,1,101,26,1,1,11,0,0,0,0,0,0,1,0,0,0,0,458,6,464,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_1_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,0.7462895664775877,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C02,131,181,7,5,4,94,19,1,2,3,0,0,0,0,1,1,1,0,0,0,0,450,2,452,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_2_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,1.3442610900728817,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C03,136,151,11,6,4,103,20,9,1,3,0,0,0,0,1,0,3,0,0,0,0,448,5,453,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_3_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,1.0974923023102514,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C04,156,155,6,2,2,110,18,2,0,4,0,0,1,0,0,0,1,0,0,0,0,457,2,459,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_4_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,0.8018598846400677,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C05,136,166,3,4,6,118,18,2,1,1,0,0,0,0,0,0,1,0,0,0,0,456,5,461,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_5_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,1.0642543677093061,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,1,URBANO(A),C06,128,156,8,5,4,112,30,4,0,3,0,0,0,0,3,1,1,0,1,0,0,456,3,459,687,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0001_6_C_0_2.jpg,1,6,1,COLIMA,1,U,NA,1.2550115699701503,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,2,URBANO(A),B,79,96,1,1,4,60,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,252,2,254,392,ACTA DE CASILLA,NA,NA,JE2015L_06_01_0002_1_B_0_2.jpg,1,6,1,COLIMA,2,U,NA,-0.02719449515832406,1,1,1.1
5,6,COLIMA,1,COLIMA,1,COLIMA,2,URBANO(A),C01,75,86,2,3,5,56,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,240,3,243,392,RECUENTO(SRA),NA,NA,JE2015L_06_01_9_GPO1.pdf,1,6,1,COLIMA,2,U,NA,-0.10252444531033406,1,1,1.1
