CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
2,32,ZACATECAS,4,4,GUADALUPE,16,GUADALUPE,470,MIXTO(A),C13,19,99,22,30,7,4,128,27,4,1,1,1,0,5,8,0,356,10,366,724,ACTA CASILLA,NA,NA,NA,4,4,17,GUADALUPE,470,M,NA,2.88418832413618,1,1,4.1
2,32,ZACATECAS,4,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,448,MIXTO(A),C01,12,51,21,52,32,21,20,25,3,2,6,1,2,2,3,0,253,3,256,436,ACTA CASILLA,NA,NA,NA,4,8,16,GENERAL PANFILO NATERA,448,M,NA,0.5798444144110834,1,1,4.1
2,32,ZACATECAS,2,13,JALPA,18,JALPA,569,URBANO(A),B,75,96,9,4,10,16,99,15,4,0,1,0,0,2,4,0,335,4,339,598,ACTA CASILLA,NA,NA,NA,2,13,19,JALPA,569,U,NA,2.254463516665323,1,1,2.1
2,32,ZACATECAS,2,10,JEREZ,19,JEREZ,615,URBANO(A),B,56,131,13,8,8,3,70,38,0,1,2,0,0,5,8,0,343,19,362,596,ACTA CASILLA,NA,NA,NA,2,10,20,JEREZ,615,U,NA,2.0135662181963703,1,1,2.1
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1820,URBANO(A),B,15,90,21,11,3,1,158,23,1,1,1,0,0,6,5,0,336,4,340,643,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1820,U,NA,3.3129208591325776,1,1,3.1
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,174,URBANO(A),B,32,71,17,6,4,0,117,33,0,1,3,0,0,9,1,7,294,0,301,623,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,174,U,NA,2.119758747938822,1,1,1.1
2,32,ZACATECAS,4,4,GUADALUPE,16,GUADALUPE,547,RURAL,B,6,162,22,10,6,1,52,13,2,0,1,0,0,0,0,0,275,0,275,371,ACTA CASILLA,NA,NA,NA,4,4,17,GUADALUPE,547,R,NA,2.1258745387608324,1,1,4.1
2,32,ZACATECAS,4,8,OJOCALIENTE,50,TRANCOSO,529,URBANO(A),C02,17,112,48,18,11,7,82,35,4,0,2,1,0,2,1,0,340,13,353,525,ACTA CASILLA,NA,NA,NA,4,8,57,TRANCOSO,529,U,NA,2.0962655985731184,1,1,4.1
2,32,ZACATECAS,3,16,RIO GRANDE,40,RIO GRANDE,1207,URBANO(A),B,68,91,29,4,7,1,82,14,6,0,0,0,0,1,2,0,305,12,317,582,ACTA CASILLA,NA,NA,NA,3,16,39,RIO GRANDE,1207,U,NA,1.471654866991402,1,1,3.1
2,32,ZACATECAS,1,17,SOMBRERETE,43,SOMBRERETE,1290,MIXTO(A),C02,85,29,23,29,5,5,70,80,10,0,2,0,0,0,3,0,341,9,350,563,GRUPO DE RECUENTO,NA,NA,NA,1,17,42,SOMBRERETE,1290,M,NA,0.2882065445285491,1,1,1.1
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1108,RURAL,B,3,201,7,15,1,2,163,13,0,0,0,0,0,4,5,0,414,20,434,646,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1108,R,NA,5.133683211999825,1,1,4.1
2,32,ZACATECAS,4,8,OJOCALIENTE,50,TRANCOSO,548,RURAL,B,2,28,25,4,1,1,6,1,2,0,0,1,0,1,1,1,73,7,81,105,ACTA CASILLA,NA,NA,NA,4,8,57,TRANCOSO,548,R,NA,-0.9633957839146752,1,1,4.1
2,32,ZACATECAS,2,11,VILLANUEVA,57,VILLANUEVA,1745,RURAL,B,5,70,187,2,4,9,2,0,7,7,1,0,0,0,0,0,294,14,308,440,ACTA CASILLA,NA,NA,NA,2,11,55,VILLANUEVA,1745,R,NA,-0.7232541420945033,1,1,2.1
2,32,ZACATECAS,1,7,FRESNILLO,13,FRESNILLO,282,RURAL,B,15,161,38,12,3,9,36,71,0,0,0,0,0,2,0,0,347,11,358,545,ACTA CASILLA,NA,NA,NA,1,7,10,FRESNILLO,282,R,NA,1.7431116154355855,1,1,1.1
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1821,URBANO(A),B,15,88,15,3,6,0,125,18,3,0,1,0,0,6,7,0,287,4,291,524,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1821,U,NA,2.5888530950613906,1,1,3.1
2,32,ZACATECAS,4,4,GUADALUPE,16,GUADALUPE,1885,URBANO(A),B,12,46,11,5,9,0,89,24,1,0,0,1,0,3,6,0,207,2,209,408,ACTA CASILLA,NA,NA,NA,4,4,17,GUADALUPE,1885,U,NA,1.2458099567803425,1,1,4.1
2,32,ZACATECAS,2,11,VILLANUEVA,57,VILLANUEVA,1746,URBANO(A),B,3,77,43,0,12,6,4,6,2,8,3,1,1,0,0,0,166,4,170,271,ACTA CASILLA,NA,NA,NA,2,11,55,VILLANUEVA,1746,U,NA,0.08409065066107713,1,1,2.1
2,32,ZACATECAS,4,8,OJOCALIENTE,36,OJOCALIENTE,1036,URBANO(A),B,18,98,12,50,14,7,59,65,0,5,3,1,0,2,1,0,335,13,348,582,ACTA CASILLA,NA,NA,NA,2,8,36,OJOCALIENTE,1036,U,NA,1.648997872321745,1,1,4.1
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,180,URBANO(A),C01,13,54,9,6,2,1,75,27,0,0,4,1,0,8,3,0,203,4,207,442,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,180,U,NA,1.036035447892659,1,1,1.1
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,141,URBANO(A),C01,15,61,12,5,4,1,59,23,1,2,0,0,0,6,2,0,191,6,197,454,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,141,U,NA,0.755530701694727,1,1,1.1
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,175,URBANO(A),B,44,101,12,6,6,3,146,25,2,0,1,0,0,4,6,0,356,5,361,561,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,175,U,NA,3.204513392336557,1,1,1.1
2,32,ZACATECAS,2,11,VILLANUEVA,57,VILLANUEVA,1711,URBANO(A),C02,8,120,88,0,6,7,52,17,11,4,1,2,0,1,1,0,318,6,324,523,ACTA CASILLA,NA,NA,NA,2,11,55,VILLANUEVA,1711,U,NA,1.4164733598516972,1,1,2.1
2,32,ZACATECAS,2,13,JALPA,34,NOCHISTLAN DE MEJIA,979,MIXTO(A),C01,32,78,7,25,2,2,77,23,1,1,1,0,0,0,5,0,254,7,261,443,ACTA CASILLA,NA,NA,NA,2,13,34,NOCHISTLAN DE MEJIA,979,M,NA,1.3492839742851706,1,1,2.1
2,32,ZACATECAS,1,7,FRESNILLO,13,FRESNILLO,260,RURAL,B,16,88,9,13,12,3,143,47,3,0,3,0,0,5,2,0,344,9,353,557,ACTA CASILLA,NA,NA,NA,1,7,10,FRESNILLO,260,R,NA,3.164837579828554,1,1,1.1
2,32,ZACATECAS,4,4,GUADALUPE,16,GUADALUPE,549,MIXTO(A),C03,15,77,22,10,8,3,113,24,1,0,2,0,0,5,5,0,285,2,287,732,ACTA CASILLA,NA,NA,NA,4,4,17,GUADALUPE,549,M,NA,2.2342587479084965,1,1,4.1
2,32,ZACATECAS,1,7,FRESNILLO,13,FRESNILLO,263,URBANO(A),B,5,70,9,8,4,5,115,29,0,0,0,1,0,1,0,0,247,6,253,426,ACTA CASILLA,NA,NA,NA,1,7,10,FRESNILLO,263,M,NA,2.2088358110501156,1,1,1.1
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,177,URBANO(A),B,62,90,12,10,0,2,179,21,7,0,2,0,0,6,7,0,398,14,412,740,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,177,U,NA,3.594537353495609,1,1,1.1
2,32,ZACATECAS,2,11,VILLANUEVA,57,VILLANUEVA,1743,RURAL,B,3,54,30,2,1,7,3,3,4,4,1,1,0,0,0,0,113,2,115,202,ACTA CASILLA,NA,NA,NA,2,11,55,VILLANUEVA,1743,R,NA,-0.5008962939786372,1,1,2.1
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1820,URBANO(A),C05,18,82,30,3,2,5,153,18,0,0,0,0,0,6,6,1,323,5,329,642,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1820,U,NA,3.061379470786219,1,1,3.1
2,32,ZACATECAS,4,3,GUADALUPE,16,GUADALUPE,461,URBANO(A),B,17,97,25,10,14,7,129,27,3,2,4,0,0,9,7,0,351,10,361,679,GRUPO DE RECUENTO,NA,NA,NA,4,3,17,GUADALUPE,461,U,NA,3.07112038659347,1,1,4.1
2,32,ZACATECAS,2,11,VILLANUEVA,57,VILLANUEVA,1712,URBANO(A),B,26,135,102,1,7,21,63,21,4,7,2,2,0,1,1,0,393,14,407,664,ACTA CASILLA,NA,NA,NA,2,11,55,VILLANUEVA,1712,U,NA,2.0832444717635026,1,1,2.1
