CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,1,U,B,47,100,19,14,2,0,6,0,81,6,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,44,0,326,20,346,486,NA,NA,NA,NA,1,1,1,ACAPONETA,1,U,,1.625501673948699,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,2,M,B,48,80,29,0,8,0,2,4,61,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,277,13,290,476,NA,NA,NA,NA,1,1,1,ACAPONETA,2,M,,0.9842898387832042,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,2,M,C01,48,89,24,4,2,0,11,3,76,4,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,25,0,295,19,314,475,NA,NA,NA,NA,1,1,1,ACAPONETA,2,M,,1.3476221356393026,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,3,U,B,60,104,67,2,6,4,10,5,67,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,26,0,362,18,380,651,NA,NA,NA,NA,1,1,1,ACAPONETA,3,U,,1.255317748592704,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,3,U,C01,52,78,48,2,5,1,16,3,67,2,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,63,0,347,13,360,651,NA,NA,NA,NA,1,1,1,ACAPONETA,3,U,,0.924613531434799,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,3,U,C02,50,84,48,3,7,3,12,1,78,6,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,51,0,355,9,364,651,NA,NA,NA,NA,1,1,1,ACAPONETA,3,U,,1.2603793681653144,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,4,U,B,49,109,43,6,4,0,27,4,122,9,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,32,0,414,6,420,672,NA,NA,NA,NA,1,1,1,ACAPONETA,4,U,,2.6658926092467503,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,5,U,B,39,59,42,3,4,1,9,7,72,5,2,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,32,0,281,18,299,456,NA,NA,NA,NA,1,1,1,ACAPONETA,5,U,,0.8880244027956505,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,5,U,C01,59,61,42,4,13,1,3,3,55,2,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,30,0,281,13,294,456,NA,NA,NA,NA,1,1,1,ACAPONETA,5,U,,0.5351116721791087,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,6,U,B,51,79,36,4,4,0,12,2,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,291,9,300,418,NA,NA,NA,NA,1,1,1,ACAPONETA,6,U,,0.8169608597865008,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,7,U,B,70,83,39,4,1,2,12,1,94,4,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,3,3,19,0,341,5,346,474,NA,NA,NA,NA,1,1,1,ACAPONETA,7,U,,1.5004737153485346,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,8,U,B,51,65,25,5,9,1,3,2,92,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,24,1,285,7,293,409,NA,NA,NA,NA,1,1,1,ACAPONETA,8,U,,1.3994077312802562,1,1,1.1
1,18,NAYARIT,1,1,ACAPONETA,1,ACAPONETA,8,U,C01,42,68,28,7,6,1,10,1,75,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,32,0,279,9,288,408,NA,NA,NA,NA,1,1,1,ACAPONETA,8,U,,1.0590340121014674,1,1,1.1
