ID_ESTADO,ID_DISTRITO,indice_grupo,estratificacion_num,estrato_df,n
16,1,1,1,1.1,446
16,1,1,2,1.1,46
16,1,2,2,1.2,400
16,2,1,1,2.1,546
16,2,1,2,2.1,241
16,2,2,2,2.2,305
16,3,1,1,3.1,442
16,3,1,2,3.1,153
16,3,2,2,3.2,289
16,4,1,1,4.1,512
16,4,1,2,4.1,316
16,4,2,2,4.2,196
16,5,1,1,5.1,498
16,5,1,2,5.1,305
16,5,2,2,5.2,193
16,6,1,1,6.1,482
16,6,1,2,6.1,249
16,6,2,2,6.2,233
16,7,1,1,7.1,483
16,7,1,2,7.1,259
16,7,2,2,7.2,224
16,8,1,1,8.1,472
16,8,1,2,8.1,253
16,8,2,2,8.2,219
16,9,1,1,9.1,487
16,9,1,2,9.1,321
16,9,2,2,9.2,166
16,10,1,1,10.1,467
16,10,1,2,10.1,339
16,10,2,2,10.2,128
16,11,1,1,11.1,505
16,11,1,2,11.1,180
16,11,2,2,11.2,325
16,12,1,1,12.1,450
16,12,1,2,12.1,233
16,12,2,2,12.2,217
