ID_ESTADO,NOMBRE_ESTADO,estrato_df,n,estrato_colapsado
6,COLIMA,6.1.1.1.1,178,1
6,COLIMA,6.2.1.1.1,47,2
6,COLIMA,6.1.1.1.2,178,3
6,COLIMA,6.2.1.1.2,86,2
6,COLIMA,6.1.2.1.1,131,4
6,COLIMA,6.2.2.1.1,133,5
6,COLIMA,6.1.2.1.2,38,4
6,COLIMA,6.2.2.1.2,186,6
8,CHIHUAHUA,8.1.1.1.1,289,1
8,CHIHUAHUA,8.2.1.1.1,319,2
8,CHIHUAHUA,8.3.1.1.1,223,3
8,CHIHUAHUA,8.4.1.1.1,294,4
8,CHIHUAHUA,8.5.1.1.1,267,5
8,CHIHUAHUA,8.6.1.1.1,336,6
8,CHIHUAHUA,8.7.1.1.1,410,7
8,CHIHUAHUA,8.8.1.1.1,259,8
8,CHIHUAHUA,8.9.1.1.1,340,9
8,CHIHUAHUA,8.1.1.2.1,303,10
8,CHIHUAHUA,8.2.1.2.1,281,11
8,CHIHUAHUA,8.3.1.2.1,315,12
8,CHIHUAHUA,8.4.1.2.1,330,13
8,CHIHUAHUA,8.5.1.2.1,356,14
8,CHIHUAHUA,8.6.1.2.1,335,15
8,CHIHUAHUA,8.7.1.2.1,251,16
8,CHIHUAHUA,8.8.1.2.1,364,17
8,CHIHUAHUA,8.9.1.2.1,202,18
16,MICHOAC?N,16.1.1.1.1,256,1
16,MICHOAC?N,16.2.1.1.1,346,2
16,MICHOAC?N,16.3.1.1.1,318,3
16,MICHOAC?N,16.4.1.1.1,370,4
16,MICHOAC?N,16.5.1.1.1,264,5
16,MICHOAC?N,16.6.1.1.1,249,6
16,MICHOAC?N,16.7.1.1.1,260,7
16,MICHOAC?N,16.8.1.1.1,139,8
16,MICHOAC?N,16.9.1.1.1,154,9
16,MICHOAC?N,16.10.1.1.1,244,10
16,MICHOAC?N,16.11.1.1.1,255,11
16,MICHOAC?N,16.12.1.1.1,272,12
16,MICHOAC?N,16.1.1.2.1,226,13
16,MICHOAC?N,16.2.1.2.1,245,14
16,MICHOAC?N,16.3.1.2.1,210,15
16,MICHOAC?N,16.4.1.2.1,211,16
16,MICHOAC?N,16.5.1.2.1,273,17
16,MICHOAC?N,16.6.1.2.1,267,18
16,MICHOAC?N,16.7.1.2.1,287,19
16,MICHOAC?N,16.8.1.2.1,361,20
16,MICHOAC?N,16.9.1.2.1,262,21
16,MICHOAC?N,16.10.1.2.1,306,22
16,MICHOAC?N,16.11.1.2.1,278,23
16,MICHOAC?N,16.12.1.2.1,200,24
18,NAYARIT,18.1.1.1.1,55,1
18,NAYARIT,18.2.1.1.1,158,2
18,NAYARIT,18.3.1.1.1,126,3
18,NAYARIT,18.1.1.1.2,28,1
18,NAYARIT,18.2.1.1.2,339,4
18,NAYARIT,18.3.1.1.2,153,5
18,NAYARIT,18.1.2.1.1,315,6
18,NAYARIT,18.2.2.1.1,41,2
18,NAYARIT,18.3.2.1.1,164,7
18,NAYARIT,18.1.2.1.2,174,8
18,NAYARIT,18.2.2.1.2,51,2
18,NAYARIT,18.3.2.1.2,113,9
32,ZACATECAS,32.1.1.1.1,133,1
32,ZACATECAS,32.2.1.1.1,213,2
32,ZACATECAS,32.3.1.1.1,75,3
32,ZACATECAS,32.4.1.1.1,52,4
32,ZACATECAS,32.1.1.1.2,149,4
32,ZACATECAS,32.2.1.1.2,169,5
32,ZACATECAS,32.3.1.1.2,270,6
32,ZACATECAS,32.4.1.1.2,224,7
32,ZACATECAS,32.1.2.1.1,182,8
32,ZACATECAS,32.2.2.1.1,334,9
32,ZACATECAS,32.3.2.1.1,197,10
32,ZACATECAS,32.4.2.1.1,99,11
32,ZACATECAS,32.1.2.1.2,125,12
32,ZACATECAS,32.2.2.1.2,47,9
32,ZACATECAS,32.3.2.1.2,96,13
32,ZACATECAS,32.4.2.1.2,204,14
