ID_ESTADO,NOMBRE_ESTADO,estrato_df,n
6,COLIMA,6.1.1.1.1,178
6,COLIMA,6.2.1.1.1,47
6,COLIMA,6.1.1.1.2,178
6,COLIMA,6.2.1.1.2,87
6,COLIMA,6.1.2.1.1,132
6,COLIMA,6.2.2.1.1,133
6,COLIMA,6.1.2.1.2,38
6,COLIMA,6.2.2.1.2,186
8,CHIHUAHUA,8.1.1.1.1,289
8,CHIHUAHUA,8.2.1.1.1,320
8,CHIHUAHUA,8.3.1.1.1,219
8,CHIHUAHUA,8.4.1.1.1,293
8,CHIHUAHUA,8.5.1.1.1,269
8,CHIHUAHUA,8.6.1.1.1,342
8,CHIHUAHUA,8.7.1.1.1,415
8,CHIHUAHUA,8.8.1.1.1,264
8,CHIHUAHUA,8.9.1.1.1,339
8,CHIHUAHUA,8.1.1.2.1,305
8,CHIHUAHUA,8.2.1.2.1,283
8,CHIHUAHUA,8.3.1.2.1,319
8,CHIHUAHUA,8.4.1.2.1,334
8,CHIHUAHUA,8.5.1.2.1,356
8,CHIHUAHUA,8.6.1.2.1,336
8,CHIHUAHUA,8.7.1.2.1,251
8,CHIHUAHUA,8.8.1.2.1,361
8,CHIHUAHUA,8.9.1.2.1,205
16,MICHOACÁN,16.1.1.1.1,254
16,MICHOACÁN,16.2.1.1.1,347
16,MICHOACÁN,16.3.1.1.1,313
16,MICHOACÁN,16.4.1.1.1,370
16,MICHOACÁN,16.5.1.1.1,268
16,MICHOACÁN,16.6.1.1.1,253
16,MICHOACÁN,16.7.1.1.1,254
16,MICHOACÁN,16.8.1.1.1,142
16,MICHOACÁN,16.9.1.1.1,157
16,MICHOACÁN,16.10.1.1.1,244
16,MICHOACÁN,16.11.1.1.1,254
16,MICHOACÁN,16.12.1.1.1,275
16,MICHOACÁN,16.1.1.2.1,229
16,MICHOACÁN,16.2.1.2.1,245
16,MICHOACÁN,16.3.1.2.1,214
16,MICHOACÁN,16.4.1.2.1,211
16,MICHOACÁN,16.5.1.2.1,269
16,MICHOACÁN,16.6.1.2.1,267
16,MICHOACÁN,16.7.1.2.1,292
16,MICHOACÁN,16.8.1.2.1,359
16,MICHOACÁN,16.9.1.2.1,262
16,MICHOACÁN,16.10.1.2.1,305
16,MICHOACÁN,16.11.1.2.1,279
16,MICHOACÁN,16.12.1.2.1,199
18,NAYARIT,18.1.1.1.1,55
18,NAYARIT,18.2.1.1.1,162
18,NAYARIT,18.3.1.1.1,128
18,NAYARIT,18.1.1.1.2,28
18,NAYARIT,18.2.1.1.2,340
18,NAYARIT,18.3.1.1.2,154
18,NAYARIT,18.1.2.1.1,317
18,NAYARIT,18.2.2.1.1,41
18,NAYARIT,18.3.2.1.1,164
18,NAYARIT,18.1.2.1.2,177
18,NAYARIT,18.2.2.1.2,52
18,NAYARIT,18.3.2.1.2,115
32,ZACATECAS,32.1.1.1.1,135
32,ZACATECAS,32.2.1.1.1,212
32,ZACATECAS,32.3.1.1.1,76
32,ZACATECAS,32.4.1.1.1,52
32,ZACATECAS,32.1.1.1.2,147
32,ZACATECAS,32.2.1.1.2,169
32,ZACATECAS,32.3.1.1.2,275
32,ZACATECAS,32.4.1.1.2,228
32,ZACATECAS,32.1.2.1.1,186
32,ZACATECAS,32.2.2.1.1,336
32,ZACATECAS,32.3.2.1.1,197
32,ZACATECAS,32.4.2.1.1,100
32,ZACATECAS,32.1.2.1.2,126
32,ZACATECAS,32.2.2.1.2,48
32,ZACATECAS,32.3.2.1.2,97
32,ZACATECAS,32.4.2.1.2,204
