ID_ESTADO,ID_DISTRITO_15,CABECERA_DISTRITAL,SECCION_15,LISTA_NOMINAL_15,CASILLA,CAND1,CAND2,CAND3
6,0,COLIMA,0,NA,M,10,17,1
6,1,COLIMA,1,688,B,137,189,2
6,1,COLIMA,1,687,C01,166,183,1
6,1,COLIMA,1,687,C02,131,215,1
6,1,COLIMA,1,687,C03,136,188,9
6,1,COLIMA,1,687,C04,156,183,2
6,1,COLIMA,1,687,C05,136,196,2
6,1,COLIMA,1,687,C06,128,204,4
6,1,COLIMA,2,392,B,79,109,3
6,1,COLIMA,2,392,C01,75,106,1
6,1,COLIMA,3,529,B,123,119,6
6,1,COLIMA,3,529,C01,118,113,1
6,1,COLIMA,3,529,C02,127,136,2
6,1,COLIMA,4,679,B,177,204,5
6,1,COLIMA,5,547,B,135,134,4
6,1,COLIMA,6,572,B,102,163,1
6,1,COLIMA,6,571,C01,134,140,1
6,1,COLIMA,6,571,C02,151,156,2
6,1,COLIMA,7,395,B,87,98,2
6,1,COLIMA,7,395,C01,99,107,0
6,1,COLIMA,8,550,B,129,164,1
6,1,COLIMA,8,550,C01,117,149,5
6,1,COLIMA,9,447,B,82,133,2
6,1,COLIMA,9,446,C01,99,127,3
6,1,COLIMA,10,584,B,117,150,4
6,1,COLIMA,10,584,C01,127,118,4
6,1,COLIMA,11,584,B,122,178,1
6,1,COLIMA,12,397,B,75,120,2
6,1,COLIMA,12,397,C01,76,105,3
6,1,COLIMA,13,712,B,156,189,3
6,1,COLIMA,13,712,C01,139,217,5
6,1,COLIMA,14,453,B,111,118,2
6,1,COLIMA,14,453,C01,107,120,2
6,1,COLIMA,15,493,B,118,129,4
6,1,COLIMA,16,635,B,106,202,3
6,1,COLIMA,17,686,B,150,172,4
6,1,COLIMA,18,448,B,114,128,3
6,1,COLIMA,18,447,C01,110,129,7
6,1,COLIMA,19,475,B,99,167,2
6,1,COLIMA,19,475,C01,111,149,3
6,1,COLIMA,20,494,B,98,157,1
6,1,COLIMA,20,493,C01,106,142,0
6,1,COLIMA,21,536,B,143,134,3
6,1,COLIMA,21,536,C01,133,125,1
6,1,COLIMA,22,415,B,95,85,1
6,1,COLIMA,22,414,C01,78,96,3
6,1,COLIMA,23,674,B,143,123,1
6,1,COLIMA,23,673,C01,137,122,4
6,1,COLIMA,23,673,C02,130,115,2
6,1,COLIMA,24,667,B,158,130,1
6,1,COLIMA,24,667,C01,174,110,2
6,1,COLIMA,24,667,C02,135,114,1
6,1,COLIMA,24,667,C03,137,121,2
6,1,COLIMA,24,667,C04,158,121,0
6,1,COLIMA,24,666,C05,171,121,3
6,1,COLIMA,25,531,B,132,116,4
6,1,COLIMA,25,531,C01,116,123,1
6,1,COLIMA,26,451,B,114,106,2
6,1,COLIMA,26,451,C01,126,103,1
6,1,COLIMA,27,384,B,92,95,1
6,1,COLIMA,27,384,C01,92,85,4
6,1,COLIMA,28,512,B,101,144,2
6,1,COLIMA,28,0,S01,297,314,4
6,1,COLIMA,29,695,B,118,218,4
6,1,COLIMA,30,469,B,113,122,1
6,1,COLIMA,31,487,B,116,124,3
6,1,COLIMA,31,487,C01,135,124,3
6,1,COLIMA,32,611,B,129,158,3
6,1,COLIMA,32,610,C01,114,154,4
6,1,COLIMA,33,677,B,155,197,5
6,1,COLIMA,33,677,C01,159,217,6
6,1,COLIMA,34,565,B,107,187,5
6,1,COLIMA,34,565,C01,125,178,1
6,1,COLIMA,35,644,B,177,154,5
6,1,COLIMA,35,644,C01,154,117,2
6,1,COLIMA,36,682,B,173,118,3
6,1,COLIMA,36,682,C01,168,100,4
6,1,COLIMA,37,714,B,178,130,3
6,1,COLIMA,37,714,C01,176,120,1
6,1,COLIMA,37,714,C02,158,138,1
6,1,COLIMA,38,444,B,97,105,2
6,1,COLIMA,38,443,C01,101,102,4
6,1,COLIMA,39,514,B,108,147,1
6,1,COLIMA,40,585,B,128,128,0
6,1,COLIMA,41,446,B,78,110,4
6,1,COLIMA,42,564,B,117,144,2
6,1,COLIMA,43,535,B,113,127,3
6,1,COLIMA,43,535,C01,124,142,2
6,1,COLIMA,44,496,B,110,102,0
6,1,COLIMA,45,538,B,140,118,1
6,1,COLIMA,45,538,C01,142,134,1
6,1,COLIMA,45,537,C02,117,152,2
6,1,COLIMA,46,447,B,112,110,1
6,1,COLIMA,46,447,C01,115,101,2
6,1,COLIMA,47,606,B,138,149,1
6,1,COLIMA,47,606,C01,132,170,1
6,1,COLIMA,48,541,B,126,135,3
6,1,COLIMA,48,540,C01,140,157,3
6,1,COLIMA,49,322,B,47,101,2
6,1,COLIMA,50,414,B,103,101,0
6,1,COLIMA,50,414,C01,94,91,1
6,1,COLIMA,51,402,B,99,96,0
6,1,COLIMA,51,402,C01,106,103,4
6,1,COLIMA,52,548,B,164,135,0
6,1,COLIMA,52,548,C01,138,155,0
6,1,COLIMA,52,548,C02,138,115,1
6,1,COLIMA,53,683,B,179,130,5
6,1,COLIMA,53,682,C01,155,148,5
6,1,COLIMA,54,638,B,133,174,2
6,1,COLIMA,54,637,C01,147,154,1
6,1,COLIMA,54,637,C02,136,156,1
6,1,COLIMA,55,560,B,113,133,3
6,1,COLIMA,55,559,C01,92,133,3
6,1,COLIMA,56,441,B,88,122,0
6,1,COLIMA,57,382,B,88,72,0
6,1,COLIMA,57,381,C01,72,85,1
6,1,COLIMA,58,521,B,122,122,2
6,1,COLIMA,58,520,C01,118,126,2
6,1,COLIMA,59,579,B,165,107,1
6,1,COLIMA,59,579,C01,190,93,3
6,1,COLIMA,60,668,B,147,128,0
6,1,COLIMA,60,668,C01,134,135,4
6,1,COLIMA,60,706,E01,167,144,6
6,1,COLIMA,60,706,E01C01,176,98,3
6,1,COLIMA,60,706,E01C02,165,124,10
6,1,COLIMA,60,705,E01C03,147,119,2
6,1,COLIMA,60,705,E01C04,201,111,2
