state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n
CHIH,1,1,1,1,1.1.1.1,550
CHIH,1,1,1,1,2.1.1.1,577
CHIH,1,1,1,1,3.1.1.1,518
CHIH,1,1,1,1,4.1.1.1,612
CHIH,1,1,1,1,5.1.1.1,603
CHIH,1,1,1,1,6.1.1.1,643
CHIH,1,1,1,1,7.1.1.1,654
CHIH,1,1,1,1,8.1.1.1,599
CHIH,1,1,1,1,9.1.1.1,530
CHIH,1,1,1,2,1.1.1.1,240
CHIH,1,1,1,2,2.1.1.1,198
CHIH,1,1,1,2,3.1.1.1,107
CHIH,1,1,1,2,4.1.1.1,297
CHIH,1,1,1,2,5.1.1.1,187
CHIH,1,1,1,2,6.1.1.1,615
CHIH,1,1,1,2,7.1.1.1,378
CHIH,1,1,1,2,8.1.1.1,549
CHIH,1,1,1,2,9.1.1.1,72
CHIH,1,1,1,3,1.1.1.1,273
CHIH,1,1,1,3,2.1.1.1,315
CHIH,1,1,1,3,3.1.1.1,214
CHIH,1,1,1,3,4.1.1.1,293
CHIH,1,1,1,3,5.1.1.1,254
CHIH,1,1,1,3,6.1.1.1,314
CHIH,1,1,1,3,7.1.1.1,410
CHIH,1,1,1,3,8.1.1.1,247
CHIH,1,1,1,3,9.1.1.1,323
CHIH,1,1,1,4,1.1.1.1,187
CHIH,1,1,1,4,2.1.1.1,174
CHIH,1,1,1,4,3.1.1.1,87
CHIH,1,1,1,4,4.1.1.1,171
CHIH,1,1,1,4,5.1.1.1,114
CHIH,1,1,1,4,6.1.1.1,297
CHIH,1,1,1,4,7.1.1.1,270
CHIH,1,1,1,4,8.1.1.1,238
CHIH,1,1,1,4,9.1.1.1,71
CHIH,1,1,1,5,1.1.1.1,334
CHIH,1,1,1,5,2.1.1.1,165
CHIH,1,1,1,5,3.1.1.1,76
CHIH,1,1,1,5,4.1.1.1,277
CHIH,1,1,1,5,5.1.1.1,375
CHIH,1,1,1,5,6.1.1.1,570
CHIH,1,1,1,5,7.1.1.1,200
CHIH,1,1,1,5,8.1.1.1,480
CHIH,1,1,1,5,9.1.1.1,166
CHIH,1,1,1,6,1.1.1.1,146
CHIH,1,1,1,6,2.1.1.1,31
CHIH,1,1,1,6,3.1.1.1,33
CHIH,1,1,1,6,4.1.1.1,144
CHIH,1,1,1,6,5.1.1.1,109
CHIH,1,1,1,6,6.1.1.1,553
CHIH,1,1,1,6,7.1.1.1,151
CHIH,1,1,1,6,8.1.1.1,452
CHIH,1,1,1,6,9.1.1.1,9
CHIH,1,1,1,7,1.1.1.1,173
CHIH,1,1,1,7,2.1.1.1,70
CHIH,1,1,1,7,3.1.1.1,32
CHIH,1,1,1,7,4.1.1.1,107
CHIH,1,1,1,7,5.1.1.1,150
CHIH,1,1,1,7,6.1.1.1,289
CHIH,1,1,1,7,7.1.1.1,94
CHIH,1,1,1,7,8.1.1.1,208
CHIH,1,1,1,7,9.1.1.1,94
CHIH,1,1,1,8,1.1.1.1,113
CHIH,1,1,1,8,2.1.1.1,28
CHIH,1,1,1,8,3.1.1.1,17
