CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PVEM_PT_MORENA_PANAL,PVEM_PT_MORENA,PVEM_MORENA_PANAL,PVEM_PT_PANAL,PT_MORENA_PANAL,PVEM_PT,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'180329B0100',18,1,20,6,22,11,21,15,8,14,7,0,7,16,5,5,0,0,4,1,12,4,2,0,2,0,5,1,0,2,4,1,1,2,5
'180438C0100',18,1,20,11,23,6,4,19,12,20,1,2,3,22,5,2,1,0,4,0,11,5,0,3,2,1,7,3,0,0,8,5,1,4,6
'180440B0100',18,1,29,13,20,4,11,19,5,11,10,0,8,24,8,1,0,1,4,0,9,6,3,2,2,2,11,4,0,2,8,3,3,4,4
'180437C0200',18,1,38,12,30,11,9,20,8,34,10,0,5,29,6,6,0,0,5,2,19,6,0,2,2,1,18,1,1,1,4,3,1,3,3
'180009C0100',18,1,33,15,33,8,19,33,15,20,6,1,13,35,19,6,0,0,10,2,24,8,2,2,4,1,14,1,1,1,9,3,1,1,6
'180829B0100',18,1,16,9,7,5,8,14,5,18,5,1,3,26,2,2,0,0,9,0,3,5,1,2,0,0,9,1,1,0,3,2,0,4,6
'180494B0100',18,1,16,8,26,6,8,27,11,19,5,0,7,17,8,6,0,0,5,1,16,3,1,2,1,0,8,0,1,2,3,2,2,3,5
'180013B0100',18,1,29,13,21,10,18,26,16,25,5,0,9,29,3,10,0,0,6,3,29,2,1,5,5,2,9,0,1,1,11,1,2,6,3
'180012B0100',18,1,24,9,31,9,15,35,9,31,8,0,7,25,6,7,0,0,6,1,24,6,1,2,0,0,16,2,3,0,11,1,1,7,9
'180522B0100',18,1,33,11,40,6,14,38,13,37,7,1,8,34,12,9,0,0,10,2,29,6,1,0,3,1,21,3,0,2,5,3,4,5,11
'180321C0100',18,1,24,10,23,4,13,27,6,15,7,0,5,25,4,5,0,0,6,1,15,3,4,2,6,0,8,0,1,1,5,2,0,1,4
'180009B0100',18,1,38,18,35,7,19,38,11,32,9,1,10,31,5,12,0,0,10,1,26,3,0,2,8,1,14,0,2,1,11,4,1,4,7
'180560B0100',18,1,15,10,17,4,13,20,4,19,7,0,8,9,4,5,1,1,2,2,15,2,2,3,4,1,9,1,2,1,5,2,0,5,9
'180813B0100',18,1,25,11,25,5,10,26,7,20,7,0,5,28,6,4,0,1,6,3,19,4,2,1,3,2,10,1,1,0,1,0,1,8,7
'180503C0100',18,1,31,12,27,6,7,25,9,28,8,0,8,26,5,9,0,0,8,0,16,4,1,2,3,1,11,1,1,1,2,3,0,1,12
'180525B0100',18,1,15,8,22,6,6,15,3,18,1,0,4,16,5,1,2,0,3,1,16,3,1,4,1,0,11,1,0,1,4,1,1,3,9
'180282B0100',18,1,20,12,29,7,12,18,10,22,7,0,5,30,8,6,1,0,3,0,20,6,1,3,4,2,12,0,1,1,8,2,1,5,12
'180909B0100',18,2,43,11,33,6,19,36,6,23,10,0,10,40,3,4,0,0,6,2,29,6,2,2,2,0,13,1,0,1,15,0,2,5,15
'180763C0200',18,2,25,13,30,4,18,24,9,27,6,1,8,38,7,7,2,0,5,2,30,5,1,3,2,1,19,3,0,0,6,1,3,5,10
'180674B0100',18,2,17,9,21,8,12,16,11,17,6,0,6,20,6,7,0,0,7,2,16,3,3,2,2,0,5,6,2,1,5,1,0,0,5
'180738C0100',18,2,30,6,25,7,17,20,9,25,9,0,10,31,4,11,0,0,4,2,24,7,1,7,0,1,10,2,0,2,3,6,0,3,11
'180781C0100',18,2,23,9,27,6,12,29,3,15,6,0,6,32,8,8,1,0,5,0,21,7,3,4,0,2,8,3,1,2,4,7,2,2,4
'180961C0100',18,2,37,14,17,9,12,30,10,25,8,0,6,26,4,6,0,0,5,2,18,4,4,3,5,0,12,2,2,1,4,1,0,3,6
'180892C0100',18,2,15,10,23,8,13,24,6,17,12,0,9,13,4,5,0,0,6,1,18,3,2,1,2,2,11,1,0,2,7,1,2,2,10
'180890B0100',18,2,23,6,29,6,7,30,9,19,11,0,7,23,6,5,0,0,3,2,24,0,3,1,4,0,9,2,0,2,7,0,0,3,5
'180909C0200',18,2,26,14,48,10,20,31,13,31,11,0,8,38,8,2,0,0,9,3,18,7,0,7,2,0,21,1,0,1,12,4,1,5,8
'180694B0100',18,2,35,10,27,4,19,27,11,21,4,0,7,28,5,6,0,0,4,2,22,6,2,2,3,0,13,3,2,0,12,5,1,2,8
'180759C0200',18,2,28,12,27,2,12,35,14,16,5,0,6,24,11,6,0,0,6,1,17,8,1,0,4,0,7,0,1,1,4,1,1,2,9
'180770E0100',18,2,10,3,8,6,5,12,0,13,0,0,4,4,3,2,0,0,2,0,3,0,0,1,1,0,7,1,1,0,2,0,0,0,3
'180912B0100',18,2,30,12,26,6,20,26,4,14,8,0,4,22,5,5,0,0,3,2,9,6,1,3,1,0,10,2,0,1,1,0,2,1,4
'180799E0502',18,2,27,12,33,11,12,27,6,26,5,0,7,20,7,6,2,0,4,1,22,5,2,2,0,0,9,1,1,1,6,2,2,3,8
'180908B0100',18,2,24,9,31,8,14,23,6,19,7,0,9,21,4,6,0,0,12,5,15,4,1,5,3,0,12,1,0,1,8,1,2,0,3
'180959C0100',18,2,13,7,15,8,11,10,8,12,3,0,6,9,8,2,0,0,2,0,7,5,1,2,5,2,11,3,3,1,3,2,1,3,9
'180967E0100',18,2,15,8,25,8,11,15,6,16,4,0,6,18,6,7,1,0,3,1,13,5,2,2,4,5,18,1,0,1,6,1,1,5,9
'180742C0100',18,2,23,9,26,5,9,27,8,24,8,0,7,22,8,4,0,0,6,1,14,4,1,3,2,1,16,1,0,1,6,0,1,4,10
'180799E0501',18,2,27,7,29,2,13,24,5,28,7,0,8,23,8,6,0,0,9,2,18,5,3,4,5,1,15,4,3,1,6,3,0,4,6
'180799E0300',18,2,22,8,31,8,15,36,9,25,6,0,9,29,7,8,1,0,8,1,17,7,1,1,3,1,17,0,0,0,6,2,2,4,8
'180799E0302',18,2,21,15,21,10,14,23,16,21,2,1,7,22,9,7,1,0,3,4,19,4,2,5,2,0,21,2,1,0,6,1,1,2,4
'180963C0100',18,2,16,11,20,8,16,16,7,22,8,0,7,26,5,5,0,0,6,1,17,6,0,4,6,2,10,0,0,0,5,3,1,7,10
'180883B0100',18,2,29,12,22,9,13,19,12,19,11,0,9,28,3,5,1,0,5,2,25,4,2,1,2,2,5,3,2,1,6,3,0,7,10
'180792C0100',18,2,20,6,22,5,11,21,9,9,7,0,1,24,1,3,1,0,4,0,19,4,1,3,1,2,9,0,0,4,4,0,1,6,7
'180684B0100',18,2,6,2,6,1,6,7,2,11,7,0,6,7,1,3,1,0,1,0,6,0,1,0,0,0,6,0,0,1,1,2,1,1,2
'180646C0100',18,2,24,7,21,10,10,24,6,21,5,0,8,26,6,5,0,0,5,2,24,8,0,1,2,0,11,3,1,0,0,4,2,1,7
'180751B0100',18,2,19,10,18,2,9,22,12,19,7,0,3,21,2,3,0,0,1,2,11,2,0,2,2,0,11,3,0,2,7,2,0,0,7
'180769B0100',18,2,7,5,8,1,8,7,3,11,1,0,3,5,0,4,0,0,3,0,7,0,0,0,0,1,3,1,0,1,4,0,0,1,1
'180879C0100',18,2,27,15,25,6,14,31,13,23,7,0,6,35,2,8,0,0,5,3,17,5,4,3,3,0,13,0,1,0,9,2,2,4,12
'180962B0100',18,2,29,15,34,14,13,32,11,31,10,0,14,35,6,8,0,0,5,2,12,8,2,1,1,2,11,1,2,4,6,0,2,2,8
'180906C0100',18,2,18,9,14,3,10,14,7,20,4,0,5,25,4,6,0,0,9,0,12,3,0,1,1,0,8,1,0,2,3,2,1,2,4
'180955B0100',18,2,14,11,19,4,14,19,6,18,3,0,3,22,6,3,0,0,2,1,15,9,0,2,3,0,9,1,0,3,6,2,0,3,5
