CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PFP,PES,RSP,FPM,CNR,NULOS
'320379B0100',32,1,4,2,1,17,16,5,4,4,4,55,2,0,0,3,10,10,15,9,1,40,12,0,1,19,7,3,3,0,1,1,1,31
'320040C0400',32,1,4,7,1,23,20,10,5,7,5,67,4,2,0,2,20,21,23,10,3,48,19,1,1,19,9,5,1,0,1,0,2,28
'320053B0100',32,1,5,7,2,25,17,12,3,10,3,71,2,6,0,4,17,13,28,10,2,46,11,1,0,24,9,9,1,1,0,2,1,37
'321303B0100',32,1,2,1,1,11,18,1,1,6,4,28,0,1,0,2,11,7,11,3,5,32,6,1,0,12,5,3,1,0,1,0,3,25
'321301B0100',32,1,5,4,0,18,9,3,1,3,3,37,1,1,0,1,11,14,15,6,2,25,5,0,1,16,6,7,0,0,1,0,0,18
'321306B0100',32,1,6,3,2,13,10,0,1,3,3,42,0,1,0,2,8,4,14,4,3,26,11,0,0,8,1,4,0,1,0,0,1,23
'320152C0100',32,1,2,0,2,13,14,1,1,4,3,38,0,1,0,0,11,7,14,1,2,20,4,0,0,16,6,2,3,0,1,0,2,21
'320054C0400',32,1,6,7,1,29,23,4,4,9,6,67,0,1,0,3,18,14,20,5,7,42,11,3,0,23,8,10,2,1,1,0,1,46
'320069C0100',32,1,2,2,2,12,12,7,0,2,3,42,0,1,0,3,11,7,14,2,3,29,4,1,0,8,4,0,0,0,0,0,0,21
'320040C0100',32,1,12,7,2,26,23,6,3,2,11,58,2,3,0,8,25,15,24,14,2,41,9,0,0,21,4,6,1,1,2,1,2,46
'320141B0100',32,1,5,3,0,10,16,3,1,0,12,45,4,3,0,4,19,14,12,5,1,26,8,1,2,19,3,4,2,1,2,0,1,26
'321292B0100',32,1,7,6,0,16,12,3,4,9,3,47,1,2,0,2,20,7,15,7,3,21,10,0,1,17,2,7,1,1,1,0,1,19
'321304B0100',32,1,11,4,1,25,21,2,1,3,5,58,2,1,0,1,20,12,15,8,5,41,11,0,0,20,1,8,1,1,0,0,1,25
'320158B0100',32,1,7,3,1,19,9,3,1,3,5,37,0,0,0,4,3,13,10,2,0,24,5,0,0,10,2,2,1,0,0,1,1,23
'320047B0100',32,1,4,4,1,13,10,4,4,1,4,28,2,0,0,3,15,7,15,2,3,18,5,0,0,20,2,3,0,0,1,0,0,21
'320055B0100',32,1,3,3,1,15,11,7,0,3,4,41,1,2,0,4,20,12,14,9,4,34,6,1,0,17,7,10,2,0,1,1,0,18
'320067B0100',32,1,8,1,1,12,15,1,1,5,6,42,4,2,0,2,11,9,7,3,5,23,6,0,0,9,7,6,2,0,1,0,0,18
'320046B0100',32,1,7,2,0,10,11,1,0,2,3,28,1,1,0,4,17,11,18,2,1,20,5,1,0,9,4,8,2,0,1,1,2,21
'320052B0100',32,1,6,5,2,30,16,5,0,8,5,63,3,1,0,5,25,9,11,6,3,36,7,2,0,22,3,7,0,0,1,1,3,27
'321303C0100',32,1,0,6,3,15,7,3,3,1,1,38,1,0,0,2,9,9,5,4,5,35,9,0,0,23,4,8,1,0,2,1,0,24
'320697B0100',32,2,0,1,1,6,4,2,1,0,3,16,0,0,0,2,6,6,6,1,1,11,4,2,3,3,1,1,0,0,0,0,0,15
'320005B0100',32,2,1,1,0,6,7,3,3,2,4,33,1,3,0,1,18,1,7,3,1,19,6,0,1,8,1,2,0,0,0,0,2,22
'321437B0100',32,2,3,0,0,7,4,3,0,3,0,12,2,1,0,0,6,1,3,1,2,9,1,0,1,8,2,3,0,0,0,0,0,9
'321720C0100',32,2,8,2,1,27,14,2,4,6,4,66,2,2,0,2,15,12,20,8,6,42,9,2,0,12,4,3,0,0,0,2,2,22
'320635B0100',32,2,6,6,3,21,10,6,0,4,8,47,2,1,0,5,12,14,20,5,3,38,10,2,0,20,5,7,3,0,1,1,2,18
'320973C0100',32,2,13,5,0,20,14,1,5,7,7,55,1,4,0,3,21,11,22,6,8,32,12,1,1,22,2,8,3,0,2,0,1,34
'321068B0100',32,2,3,3,1,19,8,4,2,5,3,45,1,4,0,4,9,10,17,5,5,29,9,0,0,6,2,3,0,0,0,1,0,19
'321723C0100',32,2,3,0,1,17,12,3,1,8,6,38,2,0,0,1,17,10,14,1,1,32,8,0,0,15,2,7,1,0,1,0,2,25
'320957B0100',32,2,10,2,0,24,20,2,3,7,4,44,2,3,0,2,19,7,21,3,4,39,13,2,1,16,4,5,5,0,0,1,3,36
'320749C0100',32,2,9,4,1,21,15,4,3,2,5,32,0,3,0,1,16,11,11,9,2,26,7,0,0,12,4,4,2,1,0,0,1,23
'320645B0100',32,2,12,4,0,24,17,4,1,6,6,54,1,2,0,4,16,9,12,8,2,30,7,1,1,13,3,9,0,0,1,0,2,24
'321733B0100',32,2,6,0,0,14,9,1,2,1,4,24,2,1,0,3,8,6,8,4,1,16,11,0,0,8,3,5,0,1,0,0,1,16
'320646B0100',32,2,12,9,2,21,17,1,2,3,5,54,1,3,0,5,14,8,22,7,3,41,13,0,0,21,5,11,0,1,0,2,0,30
'320625B0100',32,2,5,4,2,23,14,4,1,5,6,47,0,8,0,6,12,6,12,8,2,29,5,0,0,22,2,2,1,0,3,1,1,24
'321046C0100',32,2,3,1,0,16,12,3,4,1,4,43,0,4,0,0,12,12,19,3,5,24,10,0,0,7,2,2,2,0,1,0,1,14
'321073B0100',32,2,3,6,2,30,20,4,4,3,5,73,4,3,0,7,19,13,19,6,6,33,6,1,1,9,9,4,3,0,3,0,3,28
'321600B0100',32,2,3,3,0,11,10,1,1,5,2,17,0,1,0,1,10,9,9,3,2,24,6,0,1,11,4,2,1,0,3,0,0,15
'320916C0100',32,2,5,5,2,24,15,4,3,3,2,48,2,1,0,2,22,12,16,3,2,35,7,1,1,21,6,2,1,0,2,0,0,23
'320982C0100',32,2,4,4,0,26,14,1,3,9,4,48,3,4,0,3,15,9,14,5,5,31,7,0,0,16,4,3,1,0,0,0,1,22
'321388B0100',32,2,0,2,2,8,8,1,0,0,5,26,2,1,0,0,12,8,8,2,2,15,4,1,0,10,3,3,0,0,0,0,0,18
'321544B0100',32,2,3,2,1,4,2,1,1,0,3,14,1,1,0,1,8,6,8,4,2,9,5,1,0,7,2,4,0,0,0,0,0,16
'321415B0100',32,2,4,2,2,10,9,1,2,7,2,32,1,0,0,4,18,8,13,5,5,19,8,1,1,6,3,3,0,0,1,1,1,29
'320647B0100',32,2,3,3,0,17,20,3,1,8,7,36,0,4,0,0,18,6,17,6,4,27,8,0,0,11,9,4,4,0,0,1,1,32
'320978B0100',32,2,4,7,2,14,19,0,3,4,6,56,3,2,0,5,19,12,13,3,3,30,9,0,0,15,4,3,1,0,1,0,0,21
'321493C0100',32,2,5,6,0,16,10,4,0,7,3,46,1,4,0,2,7,5,10,4,3,38,9,1,0,12,1,4,1,0,0,0,1,16
'321439B0100',32,2,2,1,1,6,8,1,0,1,4,22,2,2,0,4,10,6,5,2,1,15,1,0,0,15,1,2,0,0,1,0,0,17
'320631B0100',32,2,6,3,3,24,23,7,3,8,12,56,4,0,0,3,19,15,22,6,3,39,10,1,1,23,3,11,2,0,2,0,0,27
'321757B0100',32,2,0,2,0,8,5,0,2,3,3,13,1,0,0,0,3,4,5,2,2,14,4,0,0,6,1,3,2,0,0,0,2,10
'320630B0100',32,2,4,3,1,28,19,7,4,9,2,68,3,1,0,6,22,20,33,12,5,57,16,0,0,26,3,9,1,1,1,1,1,29
'320911B0100',32,2,2,2,0,12,5,3,1,0,4,19,0,0,0,4,6,3,6,2,3,8,4,0,1,7,2,2,0,0,0,0,0,11
