CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CI1,CNR,NULOS
'060022B0100',6,1,12,23,4,9,3,14,11,12,29,35,3,18,1,1,18,0,5
'060146E0104',6,1,23,32,11,19,4,18,19,29,54,58,1,16,0,4,33,0,18
'060127B0100',6,1,28,43,8,17,3,20,16,15,54,42,5,16,0,2,26,0,10
'060127C0100',6,1,23,45,7,17,2,16,15,21,48,53,3,15,1,2,33,0,18
'060031C0100',6,1,20,29,2,11,2,14,9,19,52,47,5,18,1,1,24,0,4
'060065E0100',6,1,32,23,5,10,3,17,10,15,36,36,2,15,1,5,21,1,5
'060344B0100',6,1,22,21,6,9,3,13,7,10,44,32,2,20,1,1,23,0,7
'060154C0100',6,1,22,18,3,15,3,17,8,17,43,57,4,15,2,2,20,0,7
'060121B0100',6,1,29,28,4,17,2,21,12,25,36,39,3,21,0,1,33,0,15
'060351B0100',6,1,17,16,5,17,3,10,13,11,25,48,2,16,2,5,28,0,8
'060146C0500',6,1,20,26,5,21,3,23,15,28,45,58,5,10,2,4,31,0,13
'060077B0100',6,1,24,26,5,18,2,21,14,23,46,66,9,24,4,3,33,0,7
'060005B0100',6,1,25,32,6,16,2,8,4,17,43,41,3,16,2,1,24,0,7
'060035B0100',6,1,30,26,6,21,4,19,12,30,52,52,4,17,2,4,29,0,9
'060012C0100',6,1,25,22,3,13,3,11,13,23,41,31,3,13,2,1,21,1,8
'060082B0100',6,1,24,42,4,12,3,24,11,24,60,49,5,24,2,2,45,0,10
'060082E0100',6,1,10,23,5,7,2,14,9,13,31,29,1,13,4,3,14,0,5
'060146E0100',6,1,44,27,7,23,4,15,11,19,48,58,0,26,0,4,30,0,15
'060366B0100',6,1,28,27,4,19,1,21,18,20,36,51,3,16,1,0,31,0,10
'060044B0100',6,1,13,22,6,13,1,16,7,22,39,28,2,10,1,2,29,0,4
'060024C0300',6,1,27,38,5,20,2,23,14,25,35,74,3,26,0,3,33,0,6
'060050B0100',6,1,24,14,3,13,5,14,7,12,41,31,1,10,3,5,24,0,6
'060023C0300',6,1,24,28,2,18,4,18,18,35,46,46,2,28,3,7,36,0,9
'060007B0100',6,1,26,36,4,18,4,27,18,26,52,57,5,25,5,6,43,0,12
'060036C0100',6,1,29,34,3,14,11,17,17,28,62,52,2,21,0,4,31,0,15
'060152C0100',6,1,29,38,8,21,2,16,8,19,44,54,2,29,3,4,48,0,13
'060015B0100',6,1,18,32,7,9,4,13,6,16,50,40,2,23,0,1,18,0,14
'060157B0100',6,1,11,32,8,16,1,13,12,14,52,35,1,16,1,3,19,0,6
'060061C0200',6,1,16,36,5,35,4,21,9,27,68,57,4,20,2,2,36,0,17
'060073E0101',6,1,29,52,10,24,7,27,10,23,41,62,4,18,3,2,31,0,13
'060069C0300',6,1,24,42,7,27,0,25,15,25,48,61,4,25,3,2,32,0,16
'060026C0100',6,1,17,22,6,6,0,11,8,23,37,36,1,8,0,1,17,0,6
'060064B0100',6,1,34,27,6,21,5,15,11,27,40,46,4,14,2,1,33,0,13
'060058C0100',6,1,16,26,8,20,3,9,5,22,43,39,4,18,2,5,20,0,10
'060359C0100',6,1,10,26,6,8,0,16,3,15,30,32,2,11,1,7,16,0,8
'060150C0100',6,1,25,26,6,11,2,18,19,11,43,43,5,22,2,5,25,0,11
'060244C0300',6,2,31,34,13,24,8,20,8,19,55,64,2,22,1,1,41,0,12
'060238E0105',6,2,30,51,7,16,4,16,6,24,52,47,0,24,3,2,31,1,5
'060286C0200',6,2,24,36,9,12,5,20,8,24,32,39,1,19,3,7,31,0,12
'060286B0100',6,2,24,38,7,20,5,12,16,25,58,48,2,15,1,2,22,1,14
'060248C0300',6,2,29,38,7,19,4,8,13,19,45,59,3,21,1,4,31,1,6
'060238E0205',6,2,21,46,7,19,3,18,12,29,54,54,6,23,4,3,42,1,12
'060244C0100',6,2,21,38,8,24,3,29,15,33,51,65,1,22,1,6,24,0,13
'060238E0206',6,2,30,37,8,22,3,15,19,29,49,53,1,18,2,3,34,1,16
'060252C0100',6,2,28,41,5,14,3,15,11,11,35,47,3,19,1,3,29,0,5
