CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CI1,CI2,CNR,NULOS
'082743C0100',8,1,19,22,1,0,3,0,24,12,11,4,12,21,7,1,1,2,0,11,7,12
'082777C0100',8,1,15,30,0,0,2,2,40,21,6,4,13,29,8,4,5,2,0,16,6,10
'082757B0100',8,1,16,21,0,1,10,2,37,23,11,7,13,19,6,2,7,1,1,9,15,15
'081924C0100',8,1,18,34,0,2,6,3,34,14,11,7,10,13,11,2,2,0,0,13,17,9
'082979B0100',8,1,21,23,0,1,4,0,27,12,11,5,12,20,13,3,2,1,0,9,12,20
'081901B0100',8,1,21,26,0,1,2,1,42,17,11,4,19,26,8,2,4,2,0,13,9,15
'081845B0100',8,1,13,21,0,1,2,0,34,12,13,0,9,15,12,5,9,2,0,11,12,14
'081867B0100',8,1,26,25,1,0,3,2,42,21,14,12,7,24,23,4,5,2,0,16,25,15
'082970B0100',8,1,9,17,0,1,2,2,17,5,8,4,7,13,7,3,2,0,0,10,12,8
'081921B0100',8,1,11,24,0,1,6,3,35,16,9,8,12,19,18,3,4,1,0,20,14,14
'081920B0100',8,1,10,26,1,1,4,0,39,15,16,12,12,29,4,2,6,4,1,12,11,19
'082948B0100',8,1,16,19,0,0,5,2,39,13,10,4,13,13,11,3,9,1,1,12,14,19
'082727C0100',8,1,13,22,0,1,8,2,43,16,17,4,12,24,8,8,5,2,0,11,16,13
'082997B0100',8,1,15,37,0,1,6,2,44,17,14,6,11,24,13,3,3,1,0,17,12,18
'082759B0100',8,1,21,25,0,2,7,0,32,15,9,7,15,22,9,2,4,2,1,13,12,12
'081912C0100',8,1,14,32,0,1,7,1,29,21,12,2,11,11,10,1,4,2,0,8,16,13
'082808C0100',8,1,19,33,0,1,4,1,35,15,6,11,15,33,15,1,5,2,0,19,18,13
'080002S0100',8,2,43,75,1,1,13,5,94,45,28,19,33,62,30,7,11,7,1,41,47,40
'083089B0100',8,2,8,21,0,0,6,1,29,18,4,5,9,19,9,5,2,2,0,18,10,15
'083120B0100',8,2,5,4,0,0,1,1,21,6,9,3,1,16,4,1,2,2,1,9,10,8
'083088B0100',8,2,10,25,0,0,1,2,23,13,6,5,10,17,9,1,2,0,0,13,9,13
'083155B0100',8,2,12,30,0,0,5,5,23,15,14,6,9,11,11,1,2,4,0,17,9,12
'083069B0100',8,2,20,28,0,0,5,1,45,14,8,10,10,27,10,5,6,0,0,12,22,15
'082397B0100',8,2,10,29,0,1,5,1,30,19,10,8,11,40,18,3,3,1,0,14,10,12
'081358C0100',8,2,13,29,0,1,3,1,37,17,16,7,13,24,11,3,3,0,0,21,18,23
'080239B0100',8,2,20,27,0,0,4,0,42,27,3,7,13,21,11,3,4,3,1,22,22,22
'081357B0100',8,2,11,32,1,2,2,2,33,17,19,9,15,18,9,3,4,1,0,19,19,15
'082448C0100',8,2,15,30,0,1,5,2,50,23,12,6,17,34,7,4,4,3,1,16,14,14
'080076B0100',8,2,20,34,0,3,10,4,44,24,13,10,21,27,14,5,4,2,0,14,18,9
'082932B0100',8,2,14,27,0,0,8,2,40,14,13,9,20,30,11,3,3,2,0,14,22,16
'081363B0100',8,2,3,4,0,0,0,1,5,4,4,1,4,9,7,0,1,0,0,8,3,4
'082417B0100',8,2,19,26,0,1,3,0,33,12,8,6,20,23,8,5,4,2,0,14,21,19
'083086B0100',8,2,8,17,0,0,4,2,29,12,5,4,11,11,6,2,3,1,1,10,10,7
'080170B0100',8,2,22,27,0,2,3,3,30,24,11,5,10,33,6,1,3,2,0,14,16,12
'083034B0100',8,2,9,17,0,0,2,0,29,9,7,4,8,15,5,2,4,1,0,6,14,10
'080004C0100',8,2,17,20,0,0,5,1,33,15,11,7,9,23,5,3,1,0,0,14,15,20
'082012C0100',8,3,17,36,0,0,3,3,44,7,12,7,19,28,11,7,4,4,1,19,12,24
'081957B0100',8,3,12,28,0,1,1,3,37,18,7,13,13,20,3,1,3,2,1,11,17,12
'082061C0100',8,3,24,25,2,0,4,1,34,11,3,5,8,21,6,3,4,1,0,20,16,14
'082186C0100',8,3,18,20,0,0,5,1,29,10,6,4,18,19,7,5,2,1,0,11,15,10
'082094B0100',8,3,26,26,0,1,2,1,37,20,12,9,10,19,10,2,4,3,0,21,16,15
'082094C0100',8,3,15,36,0,0,4,5,37,18,6,5,20,14,12,6,6,4,0,13,11,14
'082115B0100',8,3,22,28,0,1,3,2,39,25,12,8,15,29,11,2,4,1,0,10,24,17
'081501B0100',8,3,9,21,0,0,3,0,25,13,10,3,11,11,5,3,1,2,0,9,12,16
'081461B0100',8,3,21,34,0,0,3,0,36,13,11,4,12,28,9,3,3,0,0,5,13,11
'083115C0100',8,3,13,49,0,1,6,0,43,20,10,4,14,32,14,5,4,0,0,19,22,12
'081484C0100',8,3,12,31,0,1,4,2,37,18,5,6,14,28,9,0,6,0,0,10,13,12
'081884B0100',8,3,10,16,0,0,3,2,18,3,4,0,3,8,2,0,1,1,0,3,4,4
'081426C0100',8,3,13,34,0,2,4,2,39,25,15,10,23,21,13,4,3,2,1,20,19,21
'081717B0100',8,4,13,42,0,2,4,1,31,25,9,4,21,28,11,5,6,1,0,10,12,16
'081635B0100',8,4,21,29,0,1,0,1,31,23,8,4,15,23,10,1,0,1,0,11,15,14
'082035B0100',8,4,12,27,0,0,5,1,44,19,13,9,22,21,13,3,7,0,0,13,13,17
'081693S0100',8,4,41,55,1,2,7,8,93,46,29,18,47,60,30,7,14,4,2,40,31,46
'081649B0100',8,4,15,28,0,0,2,1,43,19,10,5,14,24,13,4,6,1,1,14,16,20
'082077C0100',8,4,15,26,1,1,6,3,31,11,10,12,12,20,5,1,8,1,1,15,16,13
'082068C0100',8,4,11,25,0,1,4,1,35,16,14,7,13,26,3,0,4,0,0,18,14,15
'081718B0100',8,4,13,28,0,0,3,1,45,20,12,6,12,22,8,4,3,1,0,11,10,15
