CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,MORENA,PT_MORENA,PVEM,MC,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'160001B0100',16,11,20,5,7,16,17,30,5,10,4,18,21,27,10,0,8,2,46,17,1,6
'160001C0100',16,11,19,4,3,14,18,19,4,20,5,20,24,21,9,0,16,1,41,15,0,4
'160001C0200',16,11,18,9,7,25,12,14,7,21,11,18,20,21,7,1,17,1,47,10,0,6
'160002B0100',16,11,22,2,7,18,11,16,10,12,11,15,31,20,8,0,15,1,50,17,1,1
'160002C0100',16,11,16,8,4,15,17,15,9,23,4,21,11,26,7,0,19,1,35,14,2,5
'160002C0200',16,11,17,9,6,19,11,25,6,6,7,19,16,25,6,0,14,0,52,10,0,3
'160003B0100',16,11,14,5,6,12,13,14,10,16,9,25,18,17,6,0,19,0,40,14,1,6
'160003C0100',16,11,23,4,4,15,15,17,7,21,9,21,18,21,6,1,16,0,34,17,0,2
'160004B0100',16,11,18,9,0,22,11,17,4,20,4,19,22,24,7,0,16,0,33,22,1,1
'160004C0100',16,11,19,6,5,16,11,21,9,9,5,18,18,22,7,3,12,0,59,15,1,3
'160005B0100',16,23,20,10,15,24,11,31,5,21,4,19,32,25,8,1,18,1,37,12,2,7
'160005C0100',16,23,25,8,6,30,15,20,13,17,11,27,25,27,7,2,17,3,46,9,0,4
'160006B0100',16,11,18,7,6,19,21,14,4,20,2,17,11,22,8,0,11,1,31,10,0,1
'160007B0100',16,11,16,8,7,22,14,23,9,22,8,16,22,30,5,0,20,2,45,15,0,2
'160008B0100',16,11,16,2,2,14,6,11,4,12,6,8,9,14,6,0,16,3,28,13,0,1
'160009B0100',16,11,10,2,5,7,9,10,3,3,6,11,12,10,4,1,9,0,18,3,0,3
'160010B0100',16,11,13,7,5,18,9,16,9,17,2,15,17,17,13,3,15,0,32,10,0,2
'160010C0100',16,11,15,4,6,21,9,7,5,16,8,23,13,16,5,0,11,2,37,12,0,3
'160011B0100',16,24,19,7,7,21,19,25,9,30,10,27,19,21,11,2,26,2,43,20,0,8
'160011C0100',16,24,20,10,11,15,17,21,12,20,12,26,27,27,8,2,20,3,51,17,0,6
'160011C0200',16,24,24,10,11,26,15,30,10,31,13,27,33,25,7,0,23,2,41,20,0,2
'160012B0100',16,24,31,10,7,24,21,28,14,25,7,21,23,29,8,2,20,1,43,20,1,5
'160012C0100',16,24,26,9,14,18,17,37,5,19,9,28,22,40,9,1,18,0,58,25,0,6
'160013B0100',16,24,16,12,8,23,9,17,4,17,7,19,29,25,13,1,29,0,61,11,3,5
'160013C0100',16,24,19,8,5,15,16,21,9,21,10,18,30,25,9,1,31,2,53,7,0,2
'160013C0200',16,24,28,7,3,17,13,19,10,14,13,37,19,32,17,0,25,0,53,12,0,4
'160014B0100',16,12,16,10,5,15,12,16,4,23,10,22,20,27,7,1,11,3,34,11,2,6
'160014C0100',16,12,17,4,10,15,12,23,8,13,11,30,18,26,12,1,16,1,33,14,0,3
'160014C0200',16,12,16,12,5,27,15,20,10,17,6,16,18,23,6,0,13,3,40,12,0,5
'160015B0100',16,12,19,11,11,12,11,21,11,12,5,20,12,20,6,1,15,0,23,12,0,1
'160016B0100',16,24,28,4,7,26,15,22,11,27,6,24,27,28,15,2,25,6,58,15,0,6
'160016C0100',16,24,26,10,8,24,8,14,9,32,7,34,20,34,12,0,24,2,57,17,0,8
