CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PVEM_PT_MORENA_PANAL,PVEM_PT_MORENA,PVEM_MORENA_PANAL,PVEM_PT_PANAL,PT_MORENA_PANAL,PVEM_PT,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'180001B0100',18,8,19,17,28,9,13,23,9,25,5,2,6,31,6,4,0,0,5,0,11,2,3,3,0,0,14,2,1,0,7,5,1,2,7
'180002B0100',18,8,21,7,35,6,15,20,8,31,7,0,5,29,8,4,0,0,3,2,13,1,3,3,3,3,12,0,0,1,3,3,1,4,15
'180002C0100',18,8,25,5,28,4,12,31,6,25,5,0,5,38,4,8,0,0,6,2,18,5,0,3,3,0,13,1,0,4,6,2,1,4,13
'180003B0100',18,8,28,16,34,8,11,40,20,25,6,0,11,31,9,11,1,0,13,5,23,6,0,1,4,0,16,3,3,2,5,5,2,3,4
'180003C0100',18,8,35,10,50,5,17,24,10,27,4,1,9,41,9,17,0,0,13,1,27,3,6,8,5,2,14,1,0,0,3,1,3,3,10
'180003C0200',18,8,30,12,31,11,12,30,11,29,9,1,4,39,5,8,1,0,12,3,22,10,1,3,3,3,16,2,0,0,16,2,4,3,6
'180004B0100',18,8,28,12,42,13,16,34,9,22,13,0,7,44,8,10,0,0,9,2,16,10,0,7,3,1,20,4,0,0,10,1,1,5,11
'180005B0100',18,8,25,13,23,6,16,24,3,27,0,1,4,27,2,4,0,0,2,2,14,3,2,1,4,2,19,4,0,2,5,1,0,0,10
'180005C0100',18,8,27,6,25,7,8,16,7,14,6,0,3,32,7,6,0,0,4,2,15,2,2,2,2,1,14,3,0,0,4,1,0,4,4
'180006B0100',18,1,22,13,23,5,10,16,8,17,8,0,5,26,5,1,0,0,3,1,17,6,1,1,3,0,10,3,0,1,5,1,0,2,9
'180007B0100',18,1,20,5,25,5,12,20,9,16,1,0,2,14,7,6,0,0,9,2,19,7,1,0,0,0,13,0,0,0,8,1,2,2,8
'180008B0100',18,8,17,11,20,2,15,17,6,27,2,0,6,18,6,6,0,0,2,3,19,3,1,4,4,0,5,1,0,1,7,2,0,3,1
'180008C0100',18,8,25,9,24,6,10,28,4,20,5,1,7,21,7,3,0,0,3,1,12,4,0,1,2,1,8,0,0,0,4,2,2,2,4
'180009B0100',18,1,38,18,35,7,19,38,11,32,9,1,10,31,5,12,0,0,10,1,26,3,0,2,8,1,14,0,2,1,11,4,1,4,7
'180009C0100',18,1,33,15,33,8,19,33,15,20,6,1,13,35,19,6,0,0,10,2,24,8,2,2,4,1,14,1,1,1,9,3,1,1,6
'180010B0100',18,1,30,9,31,6,19,24,11,23,5,0,9,18,8,3,1,0,3,1,22,6,1,4,2,1,13,2,0,4,4,2,1,2,9
'180010C0100',18,1,26,12,20,10,13,34,12,20,3,0,6,32,10,4,0,0,9,2,20,7,0,0,3,2,17,0,0,2,6,1,1,2,11
'180011B0100',18,1,16,13,13,5,9,24,6,13,2,0,5,15,1,2,0,0,1,0,11,3,2,2,4,0,3,0,0,0,5,4,0,1,3
'180012B0100',18,1,24,9,31,9,15,35,9,31,8,0,7,25,6,7,0,0,6,1,24,6,1,2,0,0,16,2,3,0,11,1,1,7,9
'180013B0100',18,1,29,13,21,10,18,26,16,25,5,0,9,29,3,10,0,0,6,3,29,2,1,5,5,2,9,0,1,1,11,1,2,6,3
'180014B0100',18,1,14,5,13,4,7,17,4,13,1,0,1,15,3,3,0,0,3,2,11,0,1,2,0,0,8,1,0,2,3,0,0,2,7
'180015B0100',18,1,26,12,15,1,10,15,3,13,3,0,3,35,4,2,1,0,5,1,14,3,0,2,1,1,11,2,0,1,4,2,1,5,9
'180016B0100',18,1,31,5,28,6,19,27,4,18,5,0,14,29,3,6,0,0,6,2,11,6,1,3,2,0,9,2,0,0,11,4,0,3,4
'180016C0100',18,1,22,11,24,6,16,21,6,24,9,0,5,23,5,7,0,0,7,0,20,5,1,4,2,0,12,1,0,1,3,4,3,1,5
