CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PFP,PES,RSP,FPM,CNR,NULOS
'320001B0100',32,9,3,4,4,17,16,2,3,7,2,34,2,0,0,5,11,6,20,10,5,19,5,0,2,11,4,6,3,0,1,1,1,17
'320002B0100',32,5,1,7,2,24,13,6,2,8,7,48,2,0,0,1,12,12,24,7,4,36,10,0,0,12,8,3,1,0,2,0,0,18
'320003B0100',32,5,7,7,2,20,14,2,1,5,2,42,1,1,0,4,14,10,12,6,7,32,6,0,0,18,4,6,2,0,0,1,0,20
'320003C0100',32,5,9,5,0,18,14,3,6,1,3,42,0,1,0,2,14,13,20,2,1,39,6,0,0,11,6,10,1,0,1,0,0,22
'320004B0100',32,5,5,3,1,21,12,3,1,3,5,47,4,2,0,3,9,7,12,1,0,29,7,0,0,9,3,2,1,0,0,0,0,23
'320005B0100',32,2,1,1,0,6,7,3,3,2,4,33,1,3,0,1,18,1,7,3,1,19,6,0,1,8,1,2,0,0,0,0,2,22
'320006B0100',32,5,5,2,1,31,17,4,0,6,7,58,2,2,0,4,32,15,18,9,5,46,14,1,0,28,3,6,0,0,2,0,2,24
'320007B0100',32,9,2,3,2,12,6,3,4,3,3,30,1,2,0,0,7,10,5,2,3,27,5,0,2,5,1,2,0,0,2,0,1,16
'320008B0100',32,5,3,3,1,31,14,3,0,6,6,60,0,5,0,0,18,13,18,4,4,37,14,3,2,20,8,6,2,0,2,2,1,37
'320009B0100',32,9,1,3,1,8,9,4,0,2,2,21,0,1,0,2,4,5,9,1,0,19,8,0,0,8,0,6,0,0,0,0,0,9
'320010B0100',32,2,3,6,0,12,11,4,3,2,4,29,1,3,0,2,10,3,16,2,2,24,5,1,0,4,4,3,0,0,0,1,1,15
'320013B0100',32,5,10,4,5,19,13,2,4,8,5,54,2,1,0,5,19,19,14,3,2,43,13,1,0,23,8,8,0,2,2,1,0,18
