CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CI1,CNR,NULOS
'060001B0100',6,3,29,36,5,19,2,28,15,23,58,70,2,21,3,1,39,0,17
'060001C0100',6,3,32,44,12,11,4,19,17,27,58,46,3,21,1,4,30,0,17
'060001C0200',6,3,32,34,11,20,4,24,18,28,43,69,5,18,0,5,49,0,12
'060001C0300',6,3,26,33,5,23,6,26,13,32,54,55,6,26,2,3,29,0,16
'060001C0400',6,3,38,31,7,22,4,19,14,28,51,66,3,26,1,4,34,0,13
'060001C0500',6,3,41,29,8,16,7,16,18,25,53,55,0,18,0,1,44,1,11
'060001C0600',6,3,26,40,3,11,2,21,24,21,56,66,1,24,4,4,42,0,16
'060001C0700',6,3,30,46,10,25,2,17,14,26,56,62,2,25,2,3,38,0,12
'060002B0100',6,1,18,28,6,16,5,15,4,21,42,38,2,7,1,0,30,0,13
'060002C0100',6,1,10,27,5,8,3,14,8,9,39,40,1,25,1,1,23,0,7
'060003B0100',6,4,28,28,7,9,3,15,7,21,41,51,2,11,4,0,32,0,5
'060003C0100',6,4,15,22,5,11,4,18,15,15,34,47,3,22,2,0,24,0,15
'060003C0200',6,4,19,26,7,11,2,16,12,23,43,37,3,18,1,1,35,0,10
'060004B0100',6,3,29,31,5,16,5,17,25,17,62,55,3,23,2,1,38,0,15
'060005B0100',6,1,25,32,6,16,2,8,4,17,43,41,3,16,2,1,24,0,7
'060006B0100',6,3,36,36,7,20,4,17,8,27,45,47,4,23,0,3,41,0,9
'060006C0100',6,3,36,33,8,19,7,22,21,28,49,44,1,18,2,2,43,0,14
'060006C0200',6,3,22,33,8,15,5,18,7,24,52,56,2,22,1,5,39,0,12
'060007B0100',6,1,26,36,4,18,4,27,18,26,52,57,5,25,5,6,43,0,12
'060008B0100',6,3,26,26,7,20,3,23,11,9,38,33,3,17,3,1,22,0,18
'060008C0100',6,3,25,25,7,15,1,18,11,18,31,45,1,15,0,3,26,0,7
'060009B0100',6,3,22,21,5,12,6,17,14,20,27,33,1,15,3,3,27,0,12
'060009C0100',6,3,23,23,9,11,5,21,9,9,43,25,1,12,3,3,18,0,4
'060010B0100',6,3,28,37,4,15,3,19,11,16,43,47,2,26,0,4,43,0,10
'060010C0100',6,3,26,27,10,13,2,20,6,22,46,48,3,19,2,4,22,0,12
