CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CI1,CI2,CNR,NULOS
'080001B0100',8,2,16,24,0,1,3,1,43,13,8,6,19,15,8,2,7,1,0,13,14,11
'080001C0100',8,2,14,23,0,0,4,3,45,10,10,12,11,19,7,1,3,3,0,12,13,12
'080002B0100',8,11,24,49,0,1,6,3,45,27,14,8,20,29,12,4,8,3,1,23,25,16
'080002S0100',8,2,43,75,1,1,13,5,94,45,28,19,33,62,30,7,11,7,1,41,47,40
'080003B0100',8,2,13,26,0,2,5,2,40,19,13,8,13,22,7,6,5,1,0,14,13,12
'080003C0100',8,2,14,30,0,0,5,0,34,22,17,13,12,17,9,1,6,3,0,12,17,11
'080004B0100',8,2,16,27,1,1,4,1,30,11,11,4,15,34,6,1,4,0,0,11,15,13
'080004C0100',8,2,17,20,0,0,5,1,33,15,11,7,9,23,5,3,1,0,0,14,15,20
'080005B0100',8,2,17,17,0,1,4,2,28,20,9,7,15,26,7,5,3,5,0,13,20,12
'080005C0100',8,2,13,35,0,0,9,2,38,16,10,6,16,23,9,2,3,3,0,14,12,15
'080006B0100',8,11,21,32,0,0,4,2,39,27,14,7,19,31,11,2,7,4,0,22,21,22
'080006C0100',8,11,22,47,0,1,4,4,43,30,13,6,19,35,12,2,4,5,0,25,20,21
'080006C0200',8,11,16,38,1,1,9,4,46,26,12,8,16,25,15,6,13,1,0,9,29,23
'080007B0100',8,2,12,30,1,1,5,0,31,8,13,4,12,16,6,2,4,3,1,12,14,9
'080007C0100',8,2,11,34,0,0,3,0,28,18,7,7,12,20,10,0,1,1,0,10,15,10
'080008B0100',8,11,16,43,0,3,7,2,52,23,7,6,9,31,21,6,7,7,1,22,22,23
'080008C0100',8,11,22,40,0,1,8,6,57,23,18,7,22,22,19,2,11,4,1,23,22,21
'080010B0100',8,2,8,15,0,0,0,0,21,9,2,1,7,9,4,0,1,0,0,10,7,6
'080011B0100',8,2,8,13,0,0,1,1,4,3,2,2,3,7,6,2,0,1,0,7,4,5
