CLAVE_CASILLA,ID_ESTADO,estrato
080001B0100,8,2
080001C0100,8,2
080002B0100,8,11
080002S0100,8,2
080003B0100,8,2
080003C0100,8,2
080004B0100,8,2
080004C0100,8,2
080005B0100,8,2
080005C0100,8,2
080006B0100,8,11
080006C0100,8,11
080006C0200,8,11
080007B0100,8,2
080007C0100,8,2
080008B0100,8,11
080008C0100,8,11
080010B0100,8,2
080011B0100,8,2
080012B0100,8,2
080013B0100,8,2
080014B0100,8,2
080015B0100,8,2
080016B0100,8,2
080017B0100,8,14
080017C0100,8,14
080017C0200,8,14
080017C0300,8,14
080017C0400,8,14
080018B0100,8,14
080018C0100,8,14
080018C0200,8,14
080019B0100,8,5
080019C0100,8,5
080019C0200,8,5
080020B0100,8,14
080020C0100,8,14
080021B0100,8,14
080022B0100,8,5
080022C0100,8,5
080023B0100,8,5
080023C0100,8,5
080024B0100,8,5
080024C0100,8,5
080025B0100,8,14
080026B0100,8,14
080027B0100,8,14
080027C0100,8,14
080028B0100,8,14
080028C0100,8,14
080028C0200,8,5
080030B0100,8,5
080031B0100,8,5
080032B0100,8,5
080034B0100,8,14
080034C0100,8,14
080034C0200,8,14
080035B0100,8,5
080036B0100,8,5
080037B0100,8,5
080038B0100,8,18
080038C0100,8,18
080039B0100,8,9
080039C0100,8,9
080040B0100,8,18
080041B0100,8,9
080041C0100,8,9
080043B0100,8,9
080046B0100,8,9
080047B0100,8,9
080048B0100,8,9
080049B0100,8,9
080050B0100,8,9
080051B0100,8,9
080052B0100,8,9
080053B0100,8,18
080054B0100,8,18
080055B0100,8,9
080056B0100,8,14
080056C0100,8,14
080056C0200,8,14
080057B0100,8,5
080059B0100,8,5
080059C0100,8,5
080059E0100,8,14
080059E0101,8,14
080059E0102,8,14
080059E0103,8,14
080059E0104,8,14
080059E0105,8,14
080059E0106,8,14
080059E0107,8,14
080059E0200,8,14
080059E0201,8,14
080059E0202,8,14
080059E0203,8,14
080059E0204,8,14
080059E0300,8,14
080059E0301,8,14
080060B0100,8,11
080060C0100,8,11
080061B0100,8,11
080061C0100,8,11
080062B0100,8,11
080063B0100,8,11
080063C0100,8,11
080064B0100,8,2
080064C0100,8,2
080065B0100,8,2
