127
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM|PT|MC|MORENA_PANAL|PES|RSP|FPM|CNR|NULOS|TOTAL|AICA|CVYCC|EBR|IVS|LAMS|MRC|PD|VMA
6|2|0236|C|3|0|M|658|8|11|2|2|5|estrato_5|22|45|41|12|14|5|15|8|26|44|51|4|26|1|3|28|1|324|44|3|1|4|51|140|26|26
6|1|0099|B|1|0|R|257|2|4|1|1|4|estrato_4|65|13|12|1|8|2|6|9|11|19|26|0|11|2|1|11|0|132|19|1|2|0|26|51|11|11
6|1|0062|E|1|5|U|694|1|3|1|1|4|estrato_4|54|35|32|5|15|3|21|20|38|59|63|6|20|3|3|39|0|362|59|3|3|6|63|131|20|38
6|2|0252|B|1|0|U|553|8|14|2|2|2|estrato_2|51|28|31|3|11|1|20|16|26|54|37|2|15|1|3|35|1|284|54|3|1|2|37|110|15|26
6|1|0069|C|3|0|U|668|1|1|1|1|1|estrato_1|51|34|30|10|29|5|23|13|22|58|57|5|21|5|4|30|1|347|58|4|5|5|57|144|21|22
6|2|0260|C|3|0|U|684|8|14|2|2|5|estrato_5|67|36|33|7|20|2|14|13|22|46|65|0|29|4|1|39|0|331|46|1|4|0|65|125|29|22
6|1|0060|E|1|6|U|716|1|1|1|1|4|estrato_4|57|24|48|2|30|3|22|19|19|56|66|3|23|0|2|34|0|351|56|2|0|3|66|148|23|19
6|2|0244|C|11|0|U|705|8|12|2|2|2|estrato_2|36|31|48|7|22|5|20|13|22|59|65|5|10|0|4|29|0|340|59|4|0|5|65|146|10|22
6|1|0020|B|1|0|U|435|1|1|1|1|3|estrato_3|35|17|30|2|10|2|24|14|20|27|38|2|19|2|3|18|0|228|27|3|2|2|38|99|19|20
6|1|0133|B|1|0|R|376|4|6|1|1|4|estrato_4|82|16|15|3|12|3|18|13|8|28|35|4|11|2|0|15|0|183|28|0|2|4|35|80|11|8
6|2|0320|B|1|0|R|422|10|16|2|2|5|estrato_5|82|23|17|6|15|2|18|9|16|38|32|6|11|1|3|20|0|217|38|3|1|6|32|90|11|16
6|1|0077|B|1|0|M|698|1|6|1|1|1|estrato_1|32|27|31|10|17|3|28|15|39|56|60|6|23|5|4|27|1|352|56|4|5|6|60|131|23|39
6|2|0335|B|1|0|U|611|10|16|2|2|6|estrato_6|114|18|38|8|16|4|22|13|15|52|58|4|12|1|5|24|0|290|52|5|1|4|58|119|12|15
6|2|0296|B|1|0|U|738|10|16|2|2|5|estrato_5|100|22|36|13|15|4|23|19|30|60|56|4|26|2|2|38|1|351|60|2|2|4|56|132|26|30
6|2|0233|C|1|0|M|612|8|14|2|2|6|estrato_6|20|37|39|11|12|1|24|14|21|41|42|4|22|0|3|39|0|310|41|3|0|4|42|138|22|21
6|1|0084|C|1|0|R|584|1|3|1|1|4|estrato_4|5|25|32|7|15|3|17|14|24|34|55|3|25|0|2|31|0|287|34|2|0|3|55|113|25|24
6|1|0366|B|1|0|U|544|5|5|1|1|1|estrato_1|108|33|28|8|18|5|23|10|18|49|46|4|16|1|2|30|1|292|49|2|1|4|46|125|16|18
6|2|0315|C|3|0|U|660|10|15|2|2|2|estrato_2|108|33|39|8|16|6|23|9|23|64|64|3|21|2|3|30|0|344|64|3|2|3|64|134|21|23
