32
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRD|PAN_PRD|PRI|PVEM|PT|MORENA|PANAL|PT_MORENA_PANAL|PT_MORENA|PT_PANAL|MORENA_PANAL|MC|PES|RSP|FPM|CNR|NULOS|TOTAL|ADV|BFRP|GOG|JALS|JCLR|LCAL|MEBG|MECG
8|6|0806|B|1|0|U|561|19|15|6|6|15|estrato_15|59|5|9|39|0|1|4|2|53|23|13|11|16|39|18|4|6|1|26|270|6|1|0|39|122|18|4|53
8|1|2800|B|1|0|U|618|37|9|1|1|10|estrato_10|61|11|15|46|1|1|8|2|73|29|15|10|14|33|19|6|3|3|31|320|3|1|1|33|151|19|6|72
8|7|0919|B|1|0|R|505|20|13|7|7|7|estrato_7|75|3|8|43|1|1|2|2|54|23|17|6|24|22|17|3|7|1|22|256|7|1|1|22|128|17|3|54
8|8|3287|C|1|0|U|552|19|17|8|8|17|estrato_17|35|5|7|29|1|1|6|1|55|32|14|8|16|34|19|2|7|2|15|254|7|1|1|34|132|19|2|41
8|4|2160|B|1|0|U|725|37|6|4|4|13|estrato_13|95|5|15|59|0|5|6|3|71|31|20|16|32|40|17|9|8|2|27|366|8|5|0|40|179|17|9|79
8|4|2085|B|1|0|U|690|37|4|4|4|13|estrato_13|53|3|10|46|0|0|9|2|72|31|23|17|20|41|19|9|14|1|37|354|14|0|0|41|174|19|9|59
8|2|2397|C|1|0|U|449|50|1|2|2|2|estrato_2|127|3|8|38|0|1|3|2|47|15|15|8|20|26|12|1|1|0|22|222|1|1|0|26|110|12|1|49
8|8|0872|B|1|0|U|591|19|18|8|8|17|estrato_17|136|10|10|51|0|0|5|4|44|26|19|17|19|32|17|4|5|1|21|285|5|0|0|32|134|17|4|71
8|5|3282|C|2|0|U|516|21|19|5|5|5|estrato_5|156|6|10|34|0|2|11|3|44|17|14|10|17|35|14|0|8|1|20|246|8|2|0|35|116|14|0|50
8|9|0258|B|1|0|R|219|14|20|9|9|9|estrato_9|34|4|7|25|0|1|1|0|19|10|8|3|6|12|2|1|3|0|7|109|3|1|0|12|47|2|1|36
8|4|2031|B|1|0|U|436|37|4|4|4|4|estrato_4|55|2|8|30|0|2|7|8|47|25|15|9|15|25|11|4|3|1|11|223|3|2|0|25|126|11|4|40
8|9|1273|C|2|0|U|534|32|21|9|9|9|estrato_9|123|4|9|41|0|2|8|4|47|27|21|6|29|28|16|3|5|3|17|270|5|2|0|28|142|16|3|54
8|5|0944|C|3|0|U|702|21|19|5|5|14|estrato_14|46|4|11|38|0|1|7|5|68|38|22|9|20|41|15|10|11|1|32|333|11|1|0|41|169|15|10|53
8|9|1105|B|1|0|R|482|27|22|9|9|9|estrato_9|52|5|9|40|0|2|3|3|42|27|18|7|18|24|9|2|8|2|26|245|8|2|0|24|118|9|2|54
8|4|1694|B|1|0|U|694|37|5|4|4|13|estrato_13|123|6|12|57|0|0|5|1|71|28|24|8|19|47|20|8|9|1|33|349|9|0|0|47|156|20|8|75
8|2|2907|B|1|0|U|709|37|8|2|2|11|estrato_11|82|4|7|40|0|0|5|5|70|38|20|14|25|41|20|5|11|3|46|354|11|0|0|41|177|20|5|51
8|6|3206|C|1|0|U|457|19|15|6|6|6|estrato_6|113|4|8|38|0|2|5|1|47|22|14|6|19|25|7|4|5|0|24|231|5|2|0|25|114|7|4|50
8|9|1328|B|1|0|U|474|32|21|9|9|9|estrato_9|128|3|10|33|0|2|6|1|52|16|14|9|19|35|15|3|4|1|14|237|4|2|0|35|117|15|3|46
8|1|3004|C|1|0|U|687|37|10|1|1|10|estrato_10|3|8|19|50|0|1|9|4|63|31|18|9|26|45|9|1|6|1|28|328|6|1|0|45|160|9|1|77
8|4|1683|C|4|0|U|716|37|5|4|4|13|estrato_13|127|5|9|51|0|1|7|3|72|32|21|10|23|43|16|4|6|1|38|342|6|1|0|43|168|16|4|65
8|7|0364|E|1|1|R|735|17|14|7|7|16|estrato_16|55|6|17|62|0|5|9|3|68|36|26|6|26|46|20|6|10|3|37|386|10|5|0|46|174|20|6|85
8|6|0422|B|1|0|U|426|19|18|6|6|6|estrato_6|9|3|8|29|0|0|5|1|33|17|9|6|21|23|10|4|5|1|20|195|5|0|0|23|92|10|4|40
8|6|3185|B|1|0|U|479|19|12|6|6|6|estrato_6|122|4|11|35|1|1|7|2|40|33|8|12|15|29|9|8|8|1|14|238|8|1|1|29|117|9|8|50
8|7|1046|C|1|0|U|633|24|21|7|7|16|estrato_16|76|10|11|49|0|6|8|3|62|25|17|11|23|40|10|3|5|0|30|313|5|6|0|40|149|10|3|70
8|9|1101|C|2|0|R|514|27|22|9|9|9|estrato_9|145|7|13|46|0|1|8|2|53|23|12|8|17|43|14|3|5|1|22|278|5|1|0|43|123|14|3|66
8|1|2827|B|1|0|U|607|37|10|1|1|10|estrato_10|32|5|16|42|0|2|8|1|60|25|21|4|36|33|19|8|7|0|22|309|7|2|0|33|155|19|8|63
8|3|1955|B|1|0|U|537|37|3|3|3|3|estrato_3|47|9|11|63|0|1|9|4|60|17|15|5|14|35|12|1|2|0|25|283|2|1|0|35|124|12|1|83
8|5|0977|B|1|0|U|381|21|19|5|5|5|estrato_5|60|3|8|25|1|2|6|3|29|18|17|9|16|28|8|6|3|0|13|195|3|2|1|28|98|8|6|36
8|6|0727|B|1|0|U|536|19|15|6|6|6|estrato_6|100|6|4|51|0|1|6|3|62|23|18|8|23|35|7|4|3|1|22|277|3|1|0|35|143|7|4|61
8|6|2845|C|1|0|U|408|19|12|6|6|6|estrato_6|157|2|12|42|0|0|7|2|49|17|10|7|12|20|12|1|5|2|16|216|5|0|0|20|104|12|1|56
8|3|2094|C|1|0|U|458|37|4|3|3|3|estrato_3|106|4|6|31|0|3|5|2|41|25|15|9|13|23|12|3|4|0|24|220|4|3|0|23|110|12|3|41
8|2|3087|B|1|0|U|508|37|10|2|2|2|estrato_2|101|7|13|52|1|2|5|1|46|27|27|6|16|29|12|4|4|3|26|281|4|2|1|29|128|12|4|72
