223
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PT|PVEM|MORENA|PANAL|PT_PVEM_MORENA_PANAL|PT_PVEM_MORENA|PVEM_MORENA_PANAL|PT_PVEM_PANAL|PT_MORENA_PANAL|PT_PVEM|PVEM_MORENA|PVEM_PANAL|PT_MORENA|PT_PANAL|MORENA_PANAL|MC|VIVA|LN|PES|RSP|FPM|CNR|NULOS|TOTAL|AGJ|BGTL|GENS|IFM|MANQ|NMC|NRI|VMCV
18|2|0740|B|1|0|U|500|17|11|2|2|2|estrato_2|108|1|15|0|26|7|0|10|17|2|2|0|8|11|8|1|6|22|21|11|24|2|0|10|24|5|5|1|0|0|1|240|5|0|59|10|135|1|5|24
18|2|0765|C|1|0|U|723|17|11|2|2|4|estrato_4|111|0|18|2|49|14|0|19|11|2|12|0|11|13|18|0|12|17|27|12|35|7|0|11|41|9|8|0|0|3|1|352|9|0|102|11|177|0|8|41
18|3|0215|C|1|0|U|657|7|16|3|3|3|estrato_3|44|2|13|1|33|8|0|16|20|0|11|2|17|12|13|1|9|14|39|12|29|11|0|7|30|11|8|0|0|1|3|323|11|0|73|7|190|0|8|30
18|2|0909|C|1|0|U|702|17|8|2|2|2|estrato_2|55|0|15|2|27|13|2|14|16|3|15|0|11|9|10|5|9|28|42|16|31|9|0|11|38|11|3|0|0|1|2|343|11|0|73|11|204|0|3|38
18|1|0203|E|1|0|R|320|6|1|1|1|8|estrato_8|21|0|5|0|19|10|0|10|7|0|10|0|8|7|2|1|2|10|13|7|15|3|0|2|15|5|4|0|0|1|1|157|5|0|44|2|85|0|4|15
18|2|0891|C|1|0|U|436|17|8|2|2|4|estrato_4|70|0|8|2|24|12|0|10|9|0|9|0|7|7|7|0|8|15|23|8|23|4|1|5|22|7|8|0|0|1|0|220|7|0|56|5|121|0|8|22
18|2|0635|B|1|0|U|647|17|9|2|2|4|estrato_4|87|0|12|1|36|14|0|11|12|1|8|1|13|13|9|2|5|18|40|11|28|7|0|12|29|4|12|0|0|2|1|302|4|0|74|12|168|0|12|29
18|3|0161|B|1|0|U|547|5|15|3|3|5|estrato_5|80|1|13|2|25|16|0|8|12|2|14|0|13|5|11|0|11|12|18|15|21|10|0|8|34|9|7|2|0|0|0|269|9|0|65|8|144|2|7|34
18|3|0136|B|1|0|U|690|5|15|3|3|5|estrato_5|74|0|12|3|34|17|0|10|19|0|10|1|17|15|9|2|11|25|42|12|25|12|0|10|42|11|3|1|0|0|2|345|11|0|76|10|200|1|3|42
18|3|0844|C|7|0|U|695|19|14|3|3|5|estrato_5|21|0|14|1|42|9|0|16|17|2|16|2|16|12|18|0|14|13|42|16|27|15|0|23|26|8|5|0|0|1|1|356|8|0|82|23|210|0|5|26
18|3|0172|B|1|0|R|129|5|15|3|3|7|estrato_7|91|0|5|0|7|0|0|3|4|0|2|0|3|4|4|0|3|2|7|4|6|2|0|1|8|2|4|0|0|1|0|72|2|0|15|1|41|0|4|8
18|1|0033|C|1|0|R|395|1|1|1|1|8|estrato_8|3|0|10|1|15|9|0|15|7|1|4|0|4|5|13|0|5|12|25|5|17|5|0|2|21|7|3|0|0|1|3|190|7|0|50|2|103|0|3|21
18|1|0438|C|1|0|U|439|15|5|1|1|1|estrato_1|100|0|6|1|26|4|0|8|16|1|7|0|7|13|5|1|6|11|23|11|14|5|0|6|28|4|5|0|0|1|1|210|4|0|45|6|120|0|5|28
18|3|0137|C|1|0|M|506|5|15|3|3|5|estrato_5|74|0|12|0|31|14|0|10|16|1|9|0|8|13|8|3|10|17|27|6|25|2|0|14|26|4|12|1|0|2|0|271|4|0|67|14|145|1|12|26
18|2|0957|C|1|0|U|444|17|7|2|2|2|estrato_2|36|0|6|2|33|5|0|9|6|0|1|0|15|11|5|0|5|11|23|14|17|9|0|6|28|9|6|0|0|0|0|221|9|0|55|6|117|0|6|28
18|3|0255|B|1|0|U|390|8|13|3|3|9|estrato_9|86|2|8|1|30|7|0|8|6|1|7|0|13|10|2|1|9|12|23|12|15|8|0|1|15|8|7|0|0|0|1|207|8|0|56|1|119|0|7|15
18|1|0013|B|1|0|U|591|1|1|1|1|1|estrato_1|9|0|9|2|38|9|0|19|11|2|10|1|8|10|15|0|13|15|26|16|17|7|0|10|35|4|5|0|0|1|1|284|4|0|77|10|151|0|5|35
18|2|0724|C|2|0|U|659|17|11|2|2|4|estrato_4|100|0|23|4|42|11|0|13|18|2|18|0|15|13|17|0|6|22|30|7|26|10|0|11|51|11|7|1|0|1|2|361|11|0|93|11|184|1|7|51
18|1|0440|B|1|0|U|460|15|5|1|1|1|estrato_1|98|2|14|0|28|13|0|10|7|0|9|1|10|3|12|0|10|7|23|12|23|5|1|13|21|6|2|0|0|1|1|234|6|0|67|13|123|0|2|21
18|2|0881|B|1|0|U|428|17|8|2|2|2|estrato_2|65|1|6|1|32|13|0|8|9|0|7|1|11|5|3|0|6|12|25|9|20|9|1|6|26|5|4|0|0|0|0|220|5|0|61|6|118|0|4|26
18|2|0745|B|1|0|U|635|17|11|2|2|4|estrato_4|109|0|11|0|40|12|0|20|18|1|12|0|14|13|23|0|10|19|41|8|30|6|1|5|38|3|3|0|0|1|1|330|3|0|83|5|196|0|3|38
18|3|0878|E|1|0|R|126|20|13|3|3|9|estrato_9|15|0|5|0|6|4|0|0|2|0|6|0|2|1|4|0|0|3|7|3|8|0|0|2|2|1|0|0|0|1|0|57|1|0|15|2|36|0|0|2
18|2|0755|C|1|0|U|535|17|11|2|2|4|estrato_4|110|1|15|2|27|13|0|14|15|1|6|1|11|17|11|0|7|19|32|12|21|9|0|2|28|5|2|1|1|0|2|275|5|1|72|2|162|1|2|28
18|1|0009|B|1|0|U|729|1|1|1|1|1|estrato_1|7|1|23|1|46|20|0|12|18|2|13|3|19|12|21|0|11|20|40|19|28|7|0|16|36|7|10|0|0|1|1|387|7|0|103|16|213|0|10|36
18|1|0002|C|1|0|M|553|1|1|1|1|8|estrato_8|4|0|13|1|21|13|0|13|11|0|14|2|13|5|8|0|11|18|30|21|23|6|1|11|30|11|7|0|0|1|0|284|11|0|61|11|163|0|7|30
18|2|0963|C|1|0|U|506|17|7|2|2|2|estrato_2|42|0|12|1|26|9|0|10|17|2|9|0|10|9|14|1|5|18|25|5|25|8|0|8|21|4|6|0|0|2|1|248|4|0|58|8|148|0|6|21
