335
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PT|PVEM|MORENA|PANAL|PT_PVEM_MORENA_PANAL|PT_PVEM_MORENA|PT_PVEM_PANAL|PT_MORENA_PANAL|PVEM_MORENA_PANAL|PT_PVEM|PT_MORENA|PT_PANAL|PVEM_MORENA|PVEM_PANAL|MORENA_PANAL|MC|PAZ|MD|PP|PES|RSP|FPM|CNR|NULOS|TOTAL|AMRF|C_MD|CEAM|DMA|FCM|FSPT|JVB|MGMP|MGZ
32|3|1227|C|1|0|M|426|39|16|3|3|10|estrato_10|54|6|30|9|9|1|17|1|11|12|0|2|0|5|6|1|5|3|15|6|2|7|2|1|20|19|2|4|6|3|2|3|210|1|19|73|77|20|6|2|4|3
32|3|1803|B|1|0|U|696|56|2|3|3|6|estrato_6|109|14|54|12|12|2|22|1|19|17|5|1|1|9|4|4|14|3|21|6|10|11|6|2|42|29|8|3|9|13|0|6|360|2|29|117|131|42|9|8|3|13
32|4|1905|B|1|0|U|667|17|4|4|4|7|estrato_7|67|12|41|12|5|1|27|0|18|24|6|2|4|10|1|5|8|4|20|6|7|14|7|3|33|32|4|3|8|11|0|2|330|3|32|98|136|33|8|4|3|11
32|3|1787|B|1|0|U|338|56|2|3|3|3|estrato_3|104|7|22|5|7|0|16|1|4|9|2|2|1|9|4|1|1|0|17|2|4|6|1|1|22|15|3|2|7|5|2|1|179|1|15|58|63|22|7|3|2|5
32|4|1028|C|1|0|R|477|35|9|4|4|14|estrato_14|86|13|38|12|7|3|14|1|11|14|2|0|1|18|0|0|5|3|19|8|5|6|9|1|16|23|3|7|1|5|0|4|249|1|23|88|101|16|1|3|7|5
32|2|1750|B|1|0|R|199|55|11|2|2|9|estrato_9|42|5|15|3|5|1|7|0|2|8|2|0|0|7|1|0|2|1|6|7|0|1|3|1|8|7|2|1|3|2|0|0|100|1|7|36|40|8|3|2|1|2
32|3|1841|B|1|0|U|400|56|1|3|3|3|estrato_3|124|7|42|10|4|2|17|1|6|14|2|2|1|5|4|1|4|2|10|9|4|8|4|2|21|12|7|0|4|7|0|1|213|2|12|83|76|21|4|7|0|7
32|2|0694|B|1|0|R|488|20|10|2|2|2|estrato_2|27|8|42|8|7|2|29|0|8|14|2|2|0|10|4|0|8|5|11|12|0|7|8|0|34|19|0|3|5|5|1|4|258|0|19|96|91|34|5|0|3|5
32|3|0400|B|1|0|R|303|14|18|3|3|10|estrato_10|52|4|23|4|7|0|11|0|4|7|3|0|2|4|2|0|3|3|13|5|1|1|5|1|11|18|4|2|7|6|0|1|152|1|18|49|53|11|7|4|2|6
32|4|0469|C|1|0|U|647|17|4|4|4|7|estrato_7|62|10|39|13|5|4|22|2|11|27|4|1|4|16|3|3|14|4|21|7|6|12|7|1|41|24|5|4|3|7|1|2|323|1|24|95|140|41|3|5|4|7
32|1|0154|C|2|0|U|513|10|5|1|1|4|estrato_4|38|8|36|12|2|2|19|2|11|19|4|0|4|6|6|1|7|2|16|9|5|7|8|0|28|21|5|3|9|9|1|4|266|0|21|81|105|28|9|5|3|9
32|3|0724|B|1|0|M|674|22|18|3|3|3|estrato_3|37|11|54|19|7|2|19|2|16|17|3|0|4|12|4|2|7|5|18|12|5|5|8|2|29|27|7|4|10|14|0|6|331|2|27|114|118|29|10|7|4|14
32|3|0726|B|1|0|U|708|22|18|3|3|6|estrato_6|35|14|53|15|13|3|28|0|18|23|4|0|1|9|3|0|4|3|21|13|4|10|2|2|38|25|6|4|10|10|0|3|339|2|25|126|115|38|10|6|4|10
32|4|1111|C|1|0|R|611|38|15|4|4|14|estrato_14|101|12|45|14|5|2|28|2|14|24|3|1|1|8|6|0|9|4|21|12|10|2|5|0|37|23|5|6|6|9|0|0|314|0|23|108|120|37|6|5|6|9
32|1|0200|B|1|0|U|658|10|6|1|1|4|estrato_4|62|15|56|17|5|2|28|1|13|13|3|1|2|8|3|1|13|2|27|12|4|6|7|3|24|26|6|7|10|6|0|1|322|3|26|124|115|24|10|6|7|6
32|4|0525|B|1|0|R|448|57|8|4|4|11|estrato_11|124|5|35|9|9|0|18|2|11|18|0|0|2|5|2|1|8|2|14|7|4|8|4|2|26|12|2|2|9|3|0|2|222|2|12|78|86|26|9|2|2|3
32|1|0067|B|1|0|U|413|6|16|1|1|1|estrato_1|15|8|32|9|7|1|19|0|4|17|1|1|1|7|4|1|3|3|11|5|3|6|3|1|19|15|3|2|2|8|0|1|197|1|15|76|70|19|2|3|2|8
32|3|0409|B|1|0|R|641|14|18|3|3|13|estrato_13|44|8|52|16|11|5|21|2|14|20|1|2|1|16|3|3|10|5|20|10|4|8|6|1|41|27|4|0|11|12|0|2|336|1|27|115|123|41|11|4|0|12
32|3|1640|C|2|0|M|570|51|12|3|3|10|estrato_10|94|9|34|6|6|2|28|0|16|20|1|3|3|10|1|2|8|2|11|11|5|10|12|0|33|31|5|3|9|3|0|3|287|0|31|85|115|33|9|5|3|3
32|2|1723|C|1|0|U|483|55|11|2|2|2|estrato_2|49|5|27|13|3|4|16|3|10|17|3|1|0|9|2|1|5|2|10|12|3|9|4|2|20|25|1|0|3|7|1|0|218|2|25|71|88|20|3|1|0|7
32|2|1425|B|1|0|R|127|45|14|2|2|9|estrato_9|158|1|12|4|2|0|12|0|2|4|0|0|0|1|0|0|1|0|5|0|1|2|3|0|4|3|0|0|2|2|0|1|62|0|3|31|19|4|2|0|0|2
32|2|1073|B|1|0|R|657|36|11|2|2|2|estrato_2|77|16|49|11|6|2|23|1|15|30|6|0|1|19|2|4|9|2|26|10|5|13|8|2|35|25|3|1|10|6|0|4|344|2|25|108|150|35|10|3|1|6
32|1|0246|B|1|0|M|511|10|5|1|1|12|estrato_12|48|8|32|8|4|4|18|3|16|17|1|0|0|8|1|3|5|2|21|13|2|14|3|0|20|18|3|2|6|9|0|6|247|0|18|77|106|20|6|3|2|9
32|2|0601|B|1|0|R|298|19|13|2|2|9|estrato_9|95|3|16|9|7|0|9|1|6|11|2|1|0|6|2|2|3|1|11|7|1|2|2|0|15|11|2|0|1|6|0|2|139|0|11|45|57|15|1|2|0|6
32|4|0461|B|1|0|U|618|17|3|4|4|7|estrato_7|25|9|38|9|8|0|23|2|10|17|6|1|2|19|2|0|10|2|23|11|3|14|4|1|39|33|1|3|11|8|3|6|318|1|33|89|124|39|11|1|3|8
32|2|1570|B|1|0|R|224|49|7|2|2|2|estrato_2|189|3|15|6|2|0|8|2|3|10|2|0|0|5|2|0|2|0|8|3|3|4|4|1|13|6|2|2|4|5|0|0|115|1|6|36|46|13|4|2|2|5
32|3|0903|C|1|0|R|640|29|18|3|3|10|estrato_10|32|9|42|11|11|4|24|1|11|10|1|1|4|8|6|3|7|2|25|13|2|10|3|1|28|28|7|1|9|10|0|6|298|1|28|102|106|28|9|7|1|10
32|2|1052|B|1|0|M|427|36|8|2|2|9|estrato_9|85|14|34|8|7|2|15|3|8|13|1|0|0|10|3|2|7|1|13|3|7|6|4|2|24|21|1|2|5|7|0|1|224|2|21|83|78|24|5|1|2|7
32|2|1476|B|1|0|R|152|47|14|2|2|9|estrato_9|167|1|11|7|1|1|5|2|2|8|0|0|1|6|3|1|1|1|8|3|0|5|1|0|8|5|0|1|3|2|0|0|87|0|5|28|40|8|3|0|1|2
32|2|0925|B|1|0|R|109|31|10|2|2|9|estrato_9|38|1|10|1|0|0|4|0|2|6|2|0|0|1|0|0|3|0|4|3|3|1|0|0|5|3|0|0|2|3|0|0|54|0|3|16|25|5|2|0|0|3
