CLAVE_CASILLA,ID_ESTADO,estrato,PT,MORENA,PT_MORENA,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,MC,PES,RSP,FPM,CNR,NULOS
161854B0100,16,23,8,15,29,27,33,13,13,26,26,25,10,13,8,31,36,25,10
161085C0100,16,22,14,14,21,29,17,6,8,19,18,21,8,24,10,29,31,20,12
161996C0100,16,23,20,15,28,31,28,12,6,20,21,37,6,25,11,27,26,29,12
160848B0100,16,13,17,16,41,27,23,10,14,13,15,24,11,26,12,25,30,27,13
161956E0100,16,11,8,10,17,10,13,3,6,8,8,15,11,10,4,21,12,6,5
161616C0100,16,2,13,14,20,20,23,6,8,18,10,30,8,21,8,22,25,18,7
162115B0100,16,15,14,13,31,27,31,7,6,22,18,21,10,23,9,25,30,21,9
162586C0100,16,3,12,5,18,19,25,9,5,20,18,20,5,16,10,30,21,22,10
162233B0100,16,9,8,14,30,25,19,9,5,9,15,24,8,22,8,24,17,18,6
161107C0500,16,22,17,12,23,34,28,16,6,22,22,24,10,23,15,36,24,29,9
160298C0100,16,6,13,7,17,25,19,9,4,16,17,18,5,20,4,18,21,14,3
161449C0300,16,19,17,18,25,31,21,13,14,23,22,19,8,32,11,30,23,18,13
162449C0100,16,17,13,14,23,33,19,9,10,33,12,27,7,19,4,42,20,26,8
161867C0200,16,23,12,17,29,32,29,15,10,24,26,30,10,17,7,28,37,24,9
162175C0300,16,21,10,19,31,25,26,8,9,19,13,30,13,15,15,23,16,23,8
160190C0100,16,24,14,15,29,28,30,5,3,28,19,29,13,20,10,29,39,27,14
162714C0100,16,20,15,12,46,35,21,10,11,25,19,19,10,30,9,28,23,32,10
162540C0200,16,6,10,8,26,23,23,8,13,17,17,23,11,14,8,28,29,22,7
161792B0100,16,14,7,13,23,22,20,11,16,28,21,24,15,28,7,39,32,27,6
161117C0100,16,10,6,7,13,18,15,7,7,19,14,22,9,16,8,13,16,22,3
160830B0100,16,1,12,12,22,20,20,13,10,17,12,28,9,21,6,21,20,23,9
162327B0100,16,4,12,9,27,22,22,7,5,21,30,28,7,26,10,35,26,15,6
161474C0200,16,23,14,20,25,31,19,11,6,22,17,31,10,27,10,29,30,21,9
162116C0100,16,15,12,16,35,36,25,5,7,24,18,32,10,24,9,32,24,27,5
161809B0100,16,23,16,16,28,30,26,14,8,35,24,32,7,18,10,30,24,23,10
161021B0100,16,20,12,16,29,31,23,10,13,28,18,20,16,31,7,35,42,27,7
161991B0100,16,12,8,5,11,14,19,5,4,9,10,15,11,20,5,21,17,26,7
161257C0100,16,8,6,5,16,20,22,7,2,19,11,14,6,17,8,12,23,13,4
161470C0500,16,23,12,14,16,23,31,6,11,30,26,25,4,25,9,24,28,28,7
161208C0100,16,20,12,11,25,28,31,7,17,20,28,31,12,29,7,26,41,30,5
160834E0200,16,1,7,13,20,16,19,9,2,14,16,22,9,9,9,15,16,22,6
162435B0100,16,7,5,2,15,13,12,3,7,15,9,14,4,3,4,13,12,17,0
161759B0100,16,16,15,14,28,41,28,10,9,24,20,32,10,34,9,28,30,25,15
160652C0100,16,2,6,10,17,17,16,10,6,25,15,21,3,14,13,32,15,18,5
160812C0200,16,1,15,15,26,27,20,11,4,21,23,24,13,13,15,38,20,14,7
161954C0100,16,23,11,8,23,33,24,6,5,18,21,29,7,31,7,25,31,33,6
160701C0200,16,19,14,16,32,35,26,14,13,21,20,40,7,29,10,37,30,31,7
162251C0200,16,21,16,5,27,21,26,10,9,30,20,22,9,20,9,35,27,22,16
161682E0100,16,4,8,7,17,16,19,4,4,16,15,17,2,13,6,18,19,16,5
160764C0200,16,2,9,10,23,22,26,11,7,15,13,17,14,23,6,22,21,21,12
162638B0100,16,15,10,14,25,21,27,7,8,25,23,24,10,24,8,31,18,27,10
160709B0100,16,19,14,15,36,34,27,12,7,29,23,40,14,26,10,28,39,21,6
162509C0100,16,5,6,11,15,21,27,12,4,23,15,27,7,28,7,21,27,16,12
161285C0200,16,22,12,10,33,28,29,8,13,26,16,33,9,21,9,30,19,21,13
161448B0100,16,19,14,12,26,28,26,14,5,21,13,31,10,25,10,27,18,22,10
161181C0100,16,10,5,11,12,17,20,12,7,19,12,19,4,18,5,22,17,16,11
161519C0100,16,12,16,11,24,19,32,11,8,15,20,19,10,24,7,27,27,22,6
160560C0100,16,1,11,10,16,22,24,8,5,22,15,18,4,21,5,28,9,19,5
162037C0100,16,6,13,11,17,22,21,8,5,12,15,27,7,13,8,27,21,25,6
162654C0200,16,15,11,14,28,21,25,14,7,22,17,33,9,12,13,35,37,30,8
161401C0100,16,4,4,8,22,16,31,7,6,21,14,16,4,15,9,19,13,17,6
162727C0200,16,19,17,24,21,35,29,8,7,22,13,20,11,23,12,42,37,17,7
160092B0100,16,12,4,7,15,16,9,6,5,17,10,16,10,9,4,20,15,15,9
160495C0500,16,18,15,12,25,33,24,12,11,29,28,34,6,28,13,32,26,20,10
161140B0100,16,22,14,13,33,39,27,10,5,21,18,37,10,19,8,33,22,19,9
160384C0100,16,7,11,11,16,29,21,9,7,25,17,28,12,9,12,30,21,23,9
160627C0100,16,3,8,9,17,13,15,5,1,9,9,6,4,18,3,22,16,29,4
161167C0100,16,10,7,7,22,15,12,8,3,18,16,16,4,20,7,21,23,14,6
161238C0100,16,10,7,15,14,20,24,8,11,21,13,17,6,20,10,34,22,26,6
161093C0100,16,22,5,22,22,27,38,10,7,25,18,30,12,20,18,35,32,26,7
162409B0100,16,19,11,6,24,27,22,8,13,18,13,20,12,27,8,32,25,19,4
160445B0100,16,5,12,10,18,22,25,10,8,13,14,17,12,14,13,33,28,21,6
162529C0100,16,17,10,22,30,29,20,10,7,35,12,32,14,25,8,33,30,30,7
160232B0100,16,24,13,17,19,25,30,11,6,28,27,22,11,18,8,32,25,33,9
160514B0100,16,6,5,10,25,21,20,5,7,25,14,26,8,16,10,18,29,20,11
162355B0100,16,4,3,3,8,14,6,5,2,3,9,9,4,9,1,9,16,6,2
160252B0100,16,12,6,4,9,7,7,1,0,8,5,10,3,11,2,11,8,4,4
161521B0100,16,24,12,19,25,27,25,12,5,13,18,19,15,21,6,33,32,34,14
160499C0100,16,18,23,17,34,24,20,16,12,23,20,35,11,19,14,32,20,22,7
161323C0100,16,19,14,21,27,23,28,10,7,16,17,25,7,29,5,27,25,34,8
160222B0100,16,3,11,9,11,9,12,6,6,11,7,5,1,4,6,8,6,12,6
162293E0106,16,21,10,17,30,28,31,11,11,31,23,35,9,23,8,35,28,27,8
161462B0100,16,23,10,17,30,32,37,20,12,32,18,30,13,29,11,26,18,32,12
162293E0204,16,21,10,15,28,34,28,11,8,20,23,30,11,26,13,23,19,29,4
161555C0100,16,5,14,6,13,18,23,4,2,17,9,19,4,13,7,17,20,11,10
160995B0100,16,10,5,5,10,10,13,7,2,22,9,15,5,20,5,22,16,18,6
160390B0100,16,19,18,9,31,33,31,6,11,30,25,25,8,23,5,28,31,27,5
162703C0300,16,22,12,12,22,28,24,17,9,18,19,30,5,30,15,29,43,21,6
162614C0100,16,3,7,4,10,18,12,4,6,19,8,12,3,17,7,16,20,22,1
161445B0100,16,19,13,13,31,24,28,6,14,24,20,32,4,13,8,27,22,25,11
161327B0100,16,19,9,18,22,18,22,4,8,19,25,32,7,19,9,26,23,27,12
161628B0100,16,14,9,10,18,33,22,6,6,24,11,20,15,30,9,22,19,24,6
160229C0200,16,12,16,15,27,31,24,7,7,17,18,27,10,22,13,23,22,18,13
161618B0100,16,2,16,11,15,16,15,4,5,14,14,19,9,25,8,32,22,14,5
161920C0200,16,19,11,13,29,18,25,16,5,26,10,18,11,20,6,29,29,32,9
161166C0100,16,10,7,10,31,25,22,13,10,21,21,22,11,13,9,30,23,19,9
161642B0100,16,2,9,7,24,21,14,10,5,13,13,22,10,17,9,28,24,14,6
160559C0100,16,1,8,8,21,17,24,6,14,24,12,24,4,22,11,23,25,24,5
161252E0100,16,8,11,6,11,9,17,5,5,8,14,11,7,11,1,7,18,12,9
161533B0100,16,17,12,12,29,28,29,8,13,24,19,16,13,25,7,29,20,21,6
161123B0100,16,10,5,11,18,17,14,6,3,9,10,11,6,17,6,12,5,20,5
162643B0100,16,15,12,14,29,17,27,10,6,17,23,19,13,26,12,31,26,31,7
161704C0200,16,16,10,10,27,34,20,5,7,14,19,23,4,26,16,21,30,26,11
161395C0100,16,4,7,16,21,12,16,2,7,18,12,12,6,19,7,27,20,19,8
160557B0100,16,1,3,7,19,27,27,10,8,20,22,27,8,14,6,34,14,22,8
162177B0100,16,21,15,11,26,24,28,13,4,19,20,25,13,17,10,25,33,27,7
160963B0100,16,20,13,19,29,21,34,6,8,29,21,23,14,25,12,19,20,26,4
161784C0100,16,15,12,17,25,26,29,13,14,28,16,26,9,17,17,37,28,25,6
162645C0300,16,3,16,14,32,19,19,11,10,24,15,24,10,22,10,33,21,20,8
161554B0100,16,17,10,22,22,34,35,9,9,22,13,35,14,41,8,30,27,29,8
160805B0100,16,11,12,12,18,22,17,7,8,16,10,30,11,9,6,32,17,19,12
161268C1100,16,22,11,13,36,37,27,12,8,20,21,36,14,24,12,25,26,31,8
160813C0500,16,13,15,15,25,19,26,12,6,24,27,29,8,25,9,32,33,27,6
161316C0100,16,1,18,6,21,17,20,8,7,21,9,27,8,19,9,28,24,10,8
162080B0100,16,11,7,13,24,22,18,4,8,16,16,21,12,19,9,26,20,16,6
162725C0100,16,17,24,15,38,23,27,8,5,27,19,24,6,24,12,29,34,20,10
162342B0100,16,4,13,10,27,16,20,4,6,16,14,21,5,19,4,11,9,12,9
160860C0900,16,13,19,10,30,35,24,15,8,21,17,24,14,35,7,25,28,42,10
161596C0100,16,19,10,6,26,24,28,7,6,24,18,21,12,15,14,27,24,31,6
160515B0100,16,6,12,19,24,16,21,13,8,20,19,28,7,15,10,16,18,29,6
162708B0100,16,20,8,18,34,40,30,16,14,26,30,34,10,28,5,35,29,19,7
161521C0200,16,24,16,11,28,32,28,12,9,14,17,27,10,27,6,26,20,24,4
161984C0100,16,24,11,19,36,25,28,11,8,33,19,26,15,31,10,39,33,26,8
162457B0100,16,5,15,15,26,25,20,8,7,25,15,23,8,17,5,28,25,24,8
161464B0100,16,11,9,13,23,20,12,8,6,9,14,21,11,14,8,14,13,15,14
162262C0200,16,9,10,13,22,21,27,11,8,19,17,19,8,19,11,23,19,26,6
161404C0100,16,4,9,11,24,17,28,13,5,22,11,27,14,14,5,20,18,11,6
160676B0100,16,17,11,19,24,17,23,13,7,22,22,32,5,23,10,33,21,29,7
160839C0100,16,1,13,15,17,16,27,5,7,23,14,23,5,23,7,29,21,23,9
161580C0100,16,5,9,11,17,17,15,3,7,17,9,14,10,9,8,16,22,18,4
160598B0100,16,2,9,10,7,13,22,7,3,13,17,19,13,15,5,24,16,25,7
162100B0100,16,11,1,2,4,3,6,0,1,2,3,6,3,3,4,7,5,3,2
160666C0100,16,18,17,14,24,29,30,12,10,29,15,28,15,20,11,36,24,16,17
160852B0100,16,1,12,12,17,16,24,6,7,23,13,23,7,12,7,34,24,18,5
162181B0100,16,9,15,9,29,17,19,5,10,26,11,16,4,27,6,23,24,22,5
161112B0100,16,10,10,14,18,15,14,10,7,22,12,17,5,20,5,22,19,25,5
161235C0100,16,22,13,16,38,44,27,9,8,36,23,26,7,25,9,31,23,34,9
162117C0100,16,3,4,9,21,27,23,5,5,24,16,23,6,19,8,21,16,21,9
160705C0100,16,19,12,13,27,28,28,6,7,17,10,24,13,21,10,35,23,31,5
161060C0100,16,8,11,13,30,20,26,11,5,19,24,24,10,17,8,30,22,19,9
161452C0200,16,7,8,16,20,18,16,4,6,18,17,18,6,19,18,27,32,26,7
160092C0100,16,12,4,9,15,15,17,3,3,17,14,22,3,21,5,13,14,10,6
160806C1000,16,13,18,18,20,31,27,13,7,24,22,30,6,31,10,27,29,28,10
162293C0100,16,21,12,19,30,27,26,12,5,27,18,18,12,21,5,27,24,27,8
160841B0100,16,13,16,15,29,32,41,8,11,18,23,26,11,28,11,35,27,22,12
161196C0200,16,22,12,15,27,26,22,9,10,22,16,26,11,16,10,32,27,27,5
161050C0100,16,10,11,7,25,20,21,5,4,12,11,15,7,27,4,23,18,18,3
160500C0200,16,6,7,12,17,26,23,8,9,39,22,20,6,19,6,21,24,19,9
160718B0100,16,14,14,23,39,26,36,14,11,20,25,28,10,25,9,24,25,35,7
160284B0100,16,7,13,14,18,20,12,5,4,10,13,16,9,16,7,21,27,16,2
162673C0100,16,11,14,15,18,21,16,10,2,22,12,22,8,16,5,21,11,20,11
161915B0100,16,7,11,10,24,21,23,6,9,21,10,19,5,18,7,30,22,19,5
161064B0100,16,10,8,9,20,16,23,6,4,16,16,12,15,13,8,21,19,19,4
162362B0100,16,16,19,10,39,26,32,16,10,36,31,29,10,27,12,37,27,19,12
162191C0100,16,9,8,11,13,14,14,8,4,17,14,16,4,11,5,9,23,24,9
162332B0100,16,4,11,11,20,14,24,16,5,14,13,15,6,12,10,18,16,17,8
161718B0100,16,16,14,21,21,22,27,14,9,35,19,32,18,31,9,29,27,21,9
161929B0100,16,19,10,14,21,27,34,15,7,21,23,31,9,18,14,19,20,15,16
161353B0100,16,24,13,11,28,24,28,9,10,26,18,29,14,29,7,29,27,21,7
162695C0100,16,2,9,16,15,17,18,6,9,12,24,31,5,10,9,21,20,20,6
161970C0200,16,2,12,15,17,18,25,6,3,21,13,26,7,26,7,20,25,17,7
162394B0100,16,7,10,16,28,22,19,9,6,23,11,17,6,17,6,27,24,25,8
160596B0100,16,2,7,14,17,21,21,6,5,16,14,19,18,21,9,24,27,14,6
162559B0100,16,6,17,13,18,18,15,13,7,27,15,21,5,19,15,25,27,16,6
161457C0100,16,23,16,14,32,20,26,11,8,29,27,22,6,18,12,25,27,38,10
161883C0100,16,12,14,8,26,28,19,11,5,17,18,25,4,13,7,31,24,20,5
