CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CNR,NULOS
180780C0100,18,2,2,10,1,38,6,0,11,23,4,11,0,19,18,16,0,6,18,26,13,21,7,1,10,31,9,6,0,0,1,3
180238B0100,18,7,0,13,1,16,3,0,14,9,1,6,1,2,6,7,0,6,11,28,13,15,8,0,7,19,1,7,0,0,0,3
180493B0100,18,6,1,12,1,20,11,0,8,10,1,9,3,9,8,9,0,3,7,18,11,9,7,0,9,27,5,7,0,0,0,0
180600C0100,18,4,0,15,1,26,14,0,15,13,2,14,1,13,10,20,1,7,16,39,13,42,16,0,10,40,10,10,0,0,1,2
180847E0101,18,5,0,21,4,51,11,1,13,21,1,14,2,9,14,16,0,4,19,25,14,36,7,0,16,44,10,3,0,0,1,0
180855B0100,18,5,0,14,0,29,9,1,12,7,2,11,1,19,7,15,2,5,10,38,8,19,6,1,8,29,12,3,0,0,0,0
180225B0100,18,5,1,17,2,37,18,0,17,14,1,17,1,16,10,10,2,4,16,40,8,29,9,0,12,36,4,4,0,0,0,0
180111C0200,18,7,2,11,2,31,17,0,10,27,2,21,0,19,9,15,2,9,16,30,13,28,5,0,12,35,6,7,1,0,2,1
180802B0100,18,2,0,13,2,26,9,0,8,10,2,13,0,10,4,6,0,5,9,21,9,16,8,0,3,30,5,7,0,0,1,1
180270C0200,18,6,0,12,2,30,13,0,8,18,0,7,1,11,12,14,0,10,11,26,14,24,4,0,7,32,6,6,0,0,1,0
180156B0100,18,3,1,10,2,34,9,0,11,8,0,5,0,11,4,8,0,7,17,29,6,21,2,0,4,20,6,7,0,0,2,2
180766C0100,18,2,1,11,2,29,19,0,16,16,4,11,0,7,10,11,0,8,13,25,10,37,7,0,8,29,5,4,0,0,1,0
180248B0100,18,9,1,15,0,41,10,0,10,23,0,12,2,11,12,22,1,13,24,32,20,38,9,1,16,42,8,8,0,0,2,1
180771E0100,18,2,0,5,0,8,3,0,2,2,1,0,1,5,1,5,1,3,6,12,2,9,2,0,2,7,3,4,0,0,0,0
180823B0100,18,8,1,9,1,29,12,0,8,15,2,9,0,10,13,8,1,6,15,27,15,22,12,0,10,26,8,7,0,0,1,0
180112C0100,18,7,1,22,1,50,15,0,19,21,2,14,0,20,17,13,1,6,19,42,15,37,9,0,12,33,7,4,0,0,0,4
180884B0100,18,2,1,14,1,48,10,0,16,18,3,8,2,19,14,15,1,6,22,35,15,30,3,0,13,35,13,5,0,0,3,1
180359B0100,18,8,2,10,0,37,11,0,16,17,0,10,0,22,8,14,1,10,21,35,11,29,10,0,9,24,5,11,0,0,1,1
