CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PES,RSP,FPM,CNR,NULOS
321353B0100,32,1,4,2,6,18,0,2,1,17,1,1,6,1,15,12,5,6,6,0,19,21,3,2,8,2,42,1,2,0,1,11,8
320347B0100,32,1,0,0,4,5,0,2,0,2,1,1,5,1,8,0,2,1,2,0,7,7,1,0,3,2,20,0,0,0,1,5,1
320040C0400,32,1,1,3,12,22,3,4,1,16,3,1,9,5,15,11,7,7,6,2,48,29,5,4,6,14,85,2,4,0,4,20,13
320052B0100,32,1,1,3,5,14,3,0,1,10,4,3,11,5,17,10,2,11,10,4,26,33,4,11,11,10,78,0,3,0,3,16,16
321301C0100,32,1,3,2,11,11,2,0,3,9,4,0,5,3,8,10,7,5,6,1,18,12,4,5,6,5,52,1,2,0,1,9,6
321339B0100,32,1,0,4,6,13,2,1,0,5,1,1,6,2,15,6,5,9,2,1,20,22,3,3,5,11,58,1,3,0,3,15,9
321297C0100,32,1,2,0,6,13,0,0,2,12,1,1,5,0,15,3,0,6,3,0,19,13,4,2,2,9,48,0,1,0,2,14,8
321303C0100,32,1,2,0,4,10,3,0,1,13,2,2,7,5,13,6,5,6,7,1,19,14,5,3,9,6,43,2,3,0,2,13,6
320152C0100,32,1,0,1,7,9,2,2,2,9,4,1,4,1,7,5,8,6,2,1,21,9,10,1,5,2,45,1,0,0,2,12,10
320054C0300,32,1,0,4,14,20,5,0,0,13,1,3,5,6,29,6,4,12,7,0,27,22,3,5,7,11,72,1,1,0,4,17,13
320067B0100,32,1,1,1,7,10,2,2,1,8,2,0,6,3,14,9,3,6,4,0,19,19,6,2,3,8,42,3,2,0,3,6,9
320040C0100,32,1,1,0,10,25,3,2,5,10,0,1,10,5,30,14,5,7,7,0,39,25,7,7,6,6,79,0,3,0,6,18,16
320141B0100,32,1,1,0,13,18,1,2,3,3,1,2,4,3,14,8,4,6,3,1,21,16,6,5,5,9,69,4,2,0,9,15,10
321290C0300,32,1,3,2,18,14,5,2,2,11,1,1,8,3,27,11,3,11,13,0,34,20,4,4,9,13,77,2,3,0,1,18,20
321302C0100,32,1,1,2,9,15,1,1,1,6,3,0,3,4,13,10,2,5,4,0,18,9,4,4,5,7,51,2,3,0,5,12,12
320158B0100,32,1,1,0,9,11,2,0,2,4,0,0,5,2,17,7,3,5,6,1,22,21,3,0,3,2,42,0,1,0,4,10,3
320047B0100,32,1,0,0,8,14,1,0,2,7,2,0,3,1,17,8,3,4,4,1,25,16,3,3,4,4,30,1,1,0,2,20,6
320054C0400,32,1,3,2,6,22,1,0,3,19,2,2,6,2,20,10,5,6,8,3,31,19,6,3,11,6,72,6,3,0,5,19,7
320055C0100,32,1,1,1,8,20,2,2,2,5,2,0,8,1,17,7,5,8,7,1,18,19,6,3,8,5,57,1,4,0,5,10,5
320046B0100,32,1,1,1,12,12,3,0,3,11,0,0,2,2,10,5,2,6,7,0,23,17,2,3,6,2,47,2,3,0,3,13,2
321047C0200,32,2,1,3,15,14,2,0,3,5,1,1,5,4,22,8,4,5,9,2,34,19,4,3,9,5,75,0,0,0,4,16,13
320694B0100,32,2,1,0,6,15,6,0,2,4,1,0,8,0,16,5,2,5,6,2,19,28,6,5,5,12,60,3,2,0,4,13,4
320005B0100,32,2,0,0,5,10,3,0,1,5,2,2,3,3,8,1,0,6,5,0,19,9,3,0,2,1,32,1,1,0,0,9,7
321434B0100,32,2,0,0,10,14,1,0,0,5,2,2,0,3,10,5,3,7,4,2,24,13,1,2,7,4,43,2,1,0,1,9,5
321723B0100,32,2,1,1,6,16,1,1,1,5,3,1,5,1,13,14,1,6,9,3,25,21,5,2,5,4,50,4,4,0,5,20,11
320634B0100,32,2,0,2,10,18,3,1,0,10,0,1,10,0,9,6,3,9,1,2,10,16,2,1,5,2,39,3,2,0,3,14,8
320973B0100,32,2,3,1,17,15,5,2,2,11,5,1,8,3,19,9,8,10,8,3,33,22,6,0,12,12,71,1,1,0,8,18,14
321053B0100,32,2,0,0,7,8,0,0,2,5,1,0,3,0,13,4,6,6,5,1,11,7,1,1,3,3,43,0,1,0,1,12,5
321720B0100,32,2,0,1,16,15,3,0,3,13,4,2,2,2,14,12,4,8,1,0,27,28,4,3,7,11,83,3,1,0,5,17,14
320928B0100,32,2,3,3,13,16,1,3,2,5,5,1,7,2,12,12,4,7,6,4,31,19,8,3,7,15,57,3,4,0,3,18,12
320749B0100,32,2,1,1,10,12,2,3,1,8,2,0,4,5,12,9,6,7,6,0,31,14,3,2,5,6,49,2,4,0,2,16,13
320644B0100,32,2,3,1,10,15,2,1,2,15,2,2,5,5,32,12,12,9,6,3,29,31,2,3,13,5,87,2,2,0,10,17,6
321723C0100,32,2,0,4,10,9,2,1,2,9,1,4,8,2,13,1,2,5,5,2,28,17,2,2,3,5,59,3,2,0,3,12,11
320645C0100,32,2,0,0,11,22,1,0,1,11,3,2,8,3,15,11,4,8,5,2,37,12,3,1,8,10,63,1,2,0,3,17,6
320624B0100,32,2,1,0,5,25,4,1,3,10,4,3,3,3,14,7,7,7,9,1,27,28,5,1,14,8,71,0,5,0,4,16,9
321046B0100,32,2,1,1,7,14,2,1,3,5,1,0,5,1,17,7,6,3,4,0,17,13,2,3,2,6,50,3,2,0,3,8,8
321069B0100,32,2,1,1,6,17,3,1,0,7,2,1,5,4,15,6,4,5,3,2,26,21,3,2,5,4,75,0,2,0,2,11,10
321570B0100,32,2,0,0,4,2,2,0,0,4,0,0,3,2,7,1,3,6,2,1,17,9,3,0,1,2,21,0,2,0,2,15,6
320916B0100,32,2,0,2,9,19,1,0,0,11,2,0,7,4,13,9,2,10,9,2,28,23,4,3,6,8,67,4,5,0,8,13,7
320982B0100,32,2,0,0,12,17,5,2,1,7,2,3,3,2,15,5,2,7,5,1,30,12,4,6,4,4,51,5,1,0,2,15,9
321073B0100,32,2,2,1,5,15,4,1,4,8,3,2,8,4,32,18,8,9,12,2,35,28,7,4,9,11,63,1,1,0,6,13,21
321413B0100,32,2,0,2,9,8,0,1,0,9,5,1,3,1,10,6,4,5,6,0,21,13,5,4,3,1,49,3,2,0,1,6,8
320646B0100,32,2,2,0,12,21,3,0,2,15,5,1,7,3,18,15,5,5,9,6,39,27,6,3,7,9,79,2,1,0,9,29,10
320977C0100,32,2,0,0,7,8,1,1,1,9,2,2,4,2,13,9,3,6,3,1,24,9,5,2,5,6,46,2,1,0,3,18,9
321493C0100,32,2,1,2,5,17,3,0,3,11,3,2,5,2,17,6,1,7,4,0,26,16,3,2,6,4,50,3,1,0,4,7,8
321437B0100,32,2,0,0,5,6,0,0,0,4,1,0,1,0,7,0,1,3,2,0,13,11,0,0,2,3,15,1,0,0,1,6,2
320630B0100,32,2,2,1,15,27,6,1,3,18,1,3,13,1,25,7,6,13,3,1,30,24,4,5,10,10,85,3,3,0,7,18,13
321748B0100,32,2,3,3,7,15,1,0,1,8,3,0,11,0,20,10,5,9,6,2,23,21,4,2,7,7,54,0,0,0,4,15,6
320625B0100,32,2,0,0,4,22,1,0,1,10,3,2,4,4,12,11,5,4,3,0,21,24,5,0,6,8,67,1,1,0,5,9,12
320907B0100,32,2,2,1,10,20,1,0,2,9,6,3,6,1,14,8,5,8,1,2,24,21,2,3,9,5,57,2,0,0,2,8,7
320669E0100,32,2,0,0,2,2,2,1,0,5,0,0,2,0,3,0,2,2,0,0,3,2,1,1,3,0,14,0,0,0,0,2,3
320744C0100,32,2,0,0,7,10,1,1,0,8,3,1,5,3,16,8,1,6,2,1,25,15,8,3,4,3,45,2,1,0,4,6,7
321207B0100,32,3,1,3,15,15,2,1,1,10,2,2,4,2,19,3,3,8,7,1,29,26,2,2,3,7,72,1,1,0,8,19,16
321848B0100,32,3,2,0,7,13,1,0,1,16,4,1,9,2,7,7,4,3,2,0,15,20,2,1,8,3,53,3,1,0,4,11,5
320724B0100,32,3,1,2,14,19,2,1,1,11,6,0,6,3,24,8,6,9,6,1,32,21,5,3,8,13,82,1,3,0,8,17,11
321841B0100,32,3,1,2,7,12,2,0,0,8,1,0,5,2,12,3,1,4,3,1,25,11,5,1,3,10,52,1,1,0,3,11,5
320403B0100,32,3,1,0,5,11,3,1,1,2,0,0,2,0,5,3,0,5,1,1,8,10,1,2,1,6,17,2,0,0,1,6,5
320737B0100,32,3,3,0,13,19,4,2,1,12,1,1,7,0,27,10,5,10,11,4,33,23,5,2,6,7,74,0,4,0,4,9,9
321612C0100,32,3,1,1,13,13,3,1,0,17,4,1,9,1,15,6,6,9,5,1,22,21,6,3,4,5,78,4,2,0,3,15,5
321092B0100,32,3,0,0,10,9,2,0,2,9,3,0,3,1,8,1,3,5,2,0,23,15,1,1,7,3,34,2,1,0,2,7,12
321787B0100,32,3,4,0,6,14,1,1,1,6,0,0,4,2,10,7,2,4,4,2,25,20,0,1,5,3,37,0,0,0,3,10,6
321234B0100,32,3,1,4,9,14,2,0,1,4,0,2,10,2,27,6,2,14,5,2,30,31,7,3,4,10,70,3,0,0,3,13,12
321080B0100,32,3,2,2,6,11,3,0,2,10,3,1,4,4,18,5,6,11,5,1,20,23,1,3,4,8,66,2,0,0,5,12,9
320175B0100,32,4,0,1,3,22,1,1,0,10,4,1,5,4,19,10,2,10,6,2,22,26,2,5,6,8,58,2,4,0,2,21,14
320506C0100,32,4,0,1,12,11,2,2,1,12,0,1,6,2,13,12,1,8,6,1,22,18,3,1,1,4,61,2,4,0,2,14,15
320153B0100,32,4,0,0,4,14,1,0,2,5,4,0,4,1,8,4,5,2,2,1,16,12,4,2,4,7,38,0,5,0,4,15,9
320200B0100,32,4,1,1,13,15,2,0,1,9,5,2,11,0,20,12,10,8,6,4,33,25,8,3,4,10,82,2,5,0,2,16,16
320493C0100,32,4,0,1,6,5,1,0,2,6,2,4,5,2,18,3,2,6,2,0,18,16,6,3,3,4,40,2,0,0,1,14,13
320164B0100,32,4,0,4,15,20,7,0,3,9,2,0,7,4,23,14,5,9,5,2,29,20,5,3,9,7,58,1,4,0,2,17,12
320277C0100,32,4,0,1,7,24,1,1,5,9,4,2,6,5,17,10,2,5,9,0,28,17,7,4,5,11,64,2,3,0,4,7,18
320195C0100,32,4,1,0,8,15,0,1,0,5,2,0,5,4,23,8,0,11,7,3,33,17,6,1,2,10,53,0,4,0,3,16,7
320447B0100,32,4,0,0,11,20,7,2,4,18,1,1,8,2,33,8,8,11,7,0,35,26,6,3,6,4,84,0,4,0,7,22,14
320229B0100,32,4,2,1,14,19,7,5,1,17,2,2,8,2,19,13,3,12,11,3,32,29,2,5,8,16,81,2,1,0,2,19,17
320189S0100,32,4,2,3,22,44,9,3,2,28,6,1,16,5,36,14,9,16,8,3,57,44,7,5,10,12,142,3,5,0,10,38,28
320066B0100,32,4,1,1,17,18,5,0,6,11,6,3,6,1,24,15,5,10,5,2,34,20,7,10,10,6,79,5,3,0,0,19,10
320193B0100,32,4,3,2,15,22,2,2,3,17,1,4,8,3,19,13,6,12,5,1,39,17,7,4,7,13,78,5,1,0,5,27,14
321256C0100,32,4,3,2,14,23,6,3,2,16,6,2,10,1,21,15,3,9,7,1,27,32,9,5,5,8,77,2,3,0,2,20,12
320041B0100,32,4,1,1,12,22,4,1,1,12,3,1,9,7,20,15,7,5,8,2,30,30,3,5,5,9,83,1,3,0,5,15,19
320204B0100,32,4,5,0,13,19,3,1,2,15,1,3,13,0,27,8,7,6,6,2,26,29,3,0,8,10,74,3,2,0,4,12,14
320276B0100,32,4,2,1,11,12,3,2,0,7,0,1,5,3,23,8,6,9,6,0,32,16,4,1,3,9,62,1,2,0,2,10,7
320437C0100,32,4,1,0,15,24,3,0,3,13,3,1,7,2,20,14,8,10,6,2,32,20,11,3,11,12,77,2,6,0,8,18,9
320169B0100,32,4,1,2,18,27,2,1,2,16,1,3,7,2,20,13,8,11,9,1,35,24,5,3,7,8,82,4,6,0,7,8,8
321889C0100,32,4,3,1,8,14,3,2,2,11,5,1,6,0,20,7,9,5,5,1,25,23,2,1,6,4,57,2,1,0,4,16,10
320439C0100,32,4,0,0,9,13,2,1,1,5,5,0,7,2,12,4,2,4,1,2,23,20,5,1,5,6,48,1,1,0,2,17,7
320154C0100,32,4,1,1,10,16,1,3,1,8,2,2,5,2,14,12,4,10,4,1,30,23,2,1,11,5,65,2,1,0,3,15,8
320190C0200,32,4,1,2,16,21,3,1,0,15,3,3,10,1,20,9,5,8,7,1,36,33,5,2,8,9,84,0,2,0,5,20,13
320486B0100,32,4,0,3,8,11,2,1,1,10,4,1,9,2,13,5,3,7,10,2,21,18,4,0,4,9,47,0,0,0,7,6,8
320139C0200,32,4,3,1,18,19,3,2,1,11,5,2,11,3,24,8,6,14,8,3,45,21,5,4,12,10,74,2,0,0,1,17,9
320777C0100,32,4,0,0,11,15,1,1,0,8,3,0,4,2,12,9,4,6,2,1,25,16,8,2,3,5,57,4,1,0,3,13,5
320789B0100,32,4,1,4,9,15,0,0,2,8,5,2,2,2,16,4,4,8,4,1,25,16,7,5,6,6,51,4,1,0,6,15,12
320212C0100,32,4,2,2,8,17,1,0,2,9,2,1,10,4,18,8,4,5,6,2,32,25,5,7,9,9,86,0,3,0,7,17,9
320154C0200,32,4,2,1,9,15,0,1,1,8,2,0,5,2,10,7,5,6,7,0,23,25,5,3,6,8,68,3,2,0,3,15,17
320252B0100,32,4,1,2,9,20,3,3,0,5,7,1,7,1,12,4,5,6,2,0,32,13,4,2,6,8,48,1,3,0,2,9,10
320969B0100,32,5,4,0,11,17,3,1,1,15,2,2,10,1,17,13,2,4,5,2,25,23,3,7,10,7,79,7,4,0,7,12,10
320752C0100,32,5,1,1,8,12,1,0,1,8,1,0,4,1,14,8,3,7,5,1,23,13,5,1,5,2,39,3,0,0,3,14,5
321523C0100,32,5,3,1,6,9,1,0,2,2,2,1,7,2,17,2,8,5,9,0,18,13,0,3,5,5,49,3,1,0,1,13,3
