CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CNR,NULOS
060022B0100,6,1,16,23,1,6,0,10,5,15,42,33,2,15,2,1,23,0
060146E0104,6,1,36,39,10,19,4,21,12,23,57,47,4,16,2,4,26,0
060127B0100,6,1,28,39,7,25,3,13,16,17,55,63,3,29,1,5,24,0
060127C0100,6,1,34,28,8,14,5,21,14,14,41,53,3,23,3,3,30,0
060031C0100,6,1,26,24,4,13,2,15,7,21,44,37,2,17,0,4,20,0
060065E0100,6,1,20,27,4,14,4,23,10,16,33,50,1,15,3,0,22,0
060344B0100,6,1,17,22,1,14,4,23,6,19,38,37,4,17,0,1,19,0
060154C0100,6,1,16,21,4,10,5,15,8,13,35,43,2,16,3,4,28,1
060121B0100,6,1,30,30,5,18,3,13,10,22,52,63,2,27,1,4,31,1
060351B0100,6,1,13,28,8,10,2,10,11,25,49,29,3,20,1,2,31,0
060146C0500,6,1,18,33,6,15,4,23,12,30,53,52,5,18,1,2,34,0
060077B0100,6,1,46,37,8,14,6,24,8,28,53,71,5,27,1,2,41,1
060005B0100,6,1,14,33,3,17,0,17,7,12,59,41,0,19,1,3,24,0
060035B0100,6,1,31,42,5,27,4,21,16,16,49,57,2,18,5,1,28,0
060012C0100,6,1,22,22,7,11,3,16,15,26,38,35,2,15,2,3,26,0
060082B0100,6,1,36,44,6,14,4,26,14,22,42,51,5,27,3,4,44,0
060082E0100,6,1,20,17,3,8,2,15,9,14,24,30,2,11,1,0,22,0
060146E0100,6,1,29,44,12,15,4,18,18,30,59,64,2,21,3,4,32,0
060366B0100,6,1,20,34,11,15,5,24,7,17,57,45,3,27,0,1,33,0
060044B0100,6,1,11,22,6,12,1,11,5,20,41,26,4,17,2,2,22,0
060024C0300,6,1,24,42,10,13,8,19,9,24,67,53,6,21,2,5,33,1
060050B0100,6,1,19,20,0,15,2,16,9,18,29,33,4,16,1,2,21,1
060023C0300,6,1,33,40,5,25,4,13,11,30,48,52,3,24,1,5,28,1
060007B0100,6,1,37,48,9,11,6,18,8,20,65,72,9,31,3,2,31,0
060036C0100,6,1,42,41,6,22,6,14,13,24,56,47,3,23,1,4,29,0
060152C0100,6,1,32,43,3,19,4,26,10,29,66,68,4,18,3,4,38,1
060015B0100,6,1,25,22,5,7,1,12,9,21,43,36,2,15,1,2,27,0
060157B0100,6,1,16,30,8,15,5,26,12,17,46,26,0,18,1,1,25,1
060061C0200,6,1,34,36,6,16,11,14,18,20,58,54,2,21,1,3,26,1
060073E0101,6,1,25,44,12,11,3,23,12,25,69,53,5,21,0,2,43,0
060069C0300,6,1,39,33,12,17,9,16,14,24,58,56,3,17,5,6,39,1
060026C0100,6,1,21,29,4,9,2,11,16,15,34,31,0,11,0,0,23,0
060064B0100,6,1,23,25,9,15,0,18,15,34,50,47,4,22,2,2,22,0
060058C0100,6,1,20,35,5,20,1,21,10,18,42,36,3,20,1,1,23,0
060359C0100,6,1,17,18,5,12,2,17,7,13,30,28,0,16,0,4,21,0
060150C0100,6,1,28,29,8,13,5,18,14,24,31,56,1,26,1,3,32,0
060244C0300,6,2,35,42,10,21,2,15,21,19,59,69,1,24,5,3,30,0
060238E0105,6,2,36,29,10,18,3,17,15,18,56,54,3,26,4,8,36,0
060286C0100,6,2,18,41,3,23,3,23,18,16,50,54,5,25,1,4,32,0
060281S0100,6,2,44,61,17,40,5,29,27,45,110,105,9,33,7,10,68,0
060248C0300,6,2,42,39,5,21,5,25,18,25,58,53,3,21,1,3,34,0
060244C0100,6,2,32,36,13,22,6,19,12,33,49,71,5,26,4,2,33,0
060238E0206,6,2,34,44,5,17,5,18,11,36,63,56,2,23,4,6,34,0
060252B0100,6,2,29,27,7,20,1,20,11,24,62,41,3,18,1,3,15,0
060250E0203,6,2,36,31,6,18,7,19,13,20,45,53,1,13,1,4,35,1
060271C0200,6,2,20,30,6,25,5,18,24,26,50,46,2,23,5,2,48,0
060301B0100,6,2,22,21,8,6,0,16,12,13,32,39,2,12,0,0,18,0
060290C0100,6,2,30,35,9,17,1,13,10,30,62,60,4,22,3,10,33,1
060246C0100,6,2,27,35,6,19,4,21,16,24,44,55,4,24,2,4,32,0
060301C0100,6,2,22,19,5,12,3,15,5,8,31,39,2,17,1,2,17,0
060250E0300,6,2,40,43,8,18,7,21,16,21,48,43,2,28,3,6,37,0
060244B0100,6,2,23,41,9,19,11,19,23,30,52,60,7,22,2,3,40,0
060238C0200,6,2,25,44,6,20,4,19,15,37,58,53,4,31,5,0,32,0
060250B0100,6,2,41,46,11,17,6,21,9,32,55,76,5,23,1,4,43,1
060244C1100,6,2,30,36,7,24,3,25,16,22,63,52,1,28,1,4,37,1
060208C0100,6,2,21,17,1,10,4,18,7,15,26,36,1,13,1,1,18,0
060315C0100,6,2,29,33,6,17,4,20,12,26,54,58,3,28,2,5,35,1
060238B0100,6,2,33,35,4,29,9,17,24,25,45,75,2,25,2,4,27,1
060248C0400,6,2,32,41,14,17,3,20,14,24,56,70,4,28,2,3,32,0
060250C0300,6,2,32,31,8,22,1,19,16,28,67,58,4,24,2,2,32,1
060252C0200,6,2,24,40,1,8,4,20,10,20,48,43,3,22,1,2,33,0
060244C0400,6,2,33,50,8,30,3,17,13,25,45,57,7,19,1,5,40,0
060238E0201,6,2,30,38,12,19,9,16,14,25,67,50,6,33,1,3,45,0
060093B0100,6,3,29,30,5,12,9,18,15,26,45,40,1,13,1,3,31,0
060054B0100,6,3,35,33,5,16,6,17,9,20,45,44,1,26,2,3,31,0
060139E0104,6,3,32,28,6,21,4,21,13,19,53,58,7,23,2,9,31,0
060013C0100,6,3,28,26,4,20,1,17,11,18,40,35,3,13,1,1,30,0
