CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CNR,NULOS
080599C0100,8,8,5,14,36,0,1,3,3,49,30,11,6,14,35,6,2,9,4,17
082823C0700,8,10,7,9,48,0,3,3,2,75,36,18,14,25,47,21,2,11,2,34
082830C0100,8,12,7,9,42,0,1,3,2,64,29,12,13,24,46,16,0,12,2,20
082180B0100,8,12,3,9,44,0,0,9,3,59,19,21,4,29,37,10,7,5,3,25
080526B0100,8,8,5,14,31,1,0,8,2,54,21,10,8,11,23,7,4,4,0,18
081117B0100,8,9,4,4,30,0,0,4,3,49,20,18,13,19,27,15,6,9,1,16
080997B0100,8,14,6,8,55,0,3,9,7,56,43,30,13,25,38,15,3,10,1,30
082017B0100,8,3,3,9,21,0,0,1,1,39,16,9,8,22,26,11,4,6,1,15
083206C0100,8,6,4,8,38,0,2,5,1,47,22,14,6,19,25,7,4,5,0,24
083084B0100,8,2,4,6,24,0,0,4,4,37,19,8,8,11,22,10,4,4,2,12
081024B0100,8,14,3,15,53,0,1,6,0,54,27,24,9,13,35,15,1,12,3,35
082663B0100,8,9,7,11,40,0,0,3,6,51,21,20,5,24,32,14,5,7,3,26
080542B0100,8,8,7,8,37,0,2,4,3,37,18,13,8,16,32,12,4,3,0,9
080642B0100,8,6,2,6,29,0,0,3,5,51,16,10,10,21,25,7,4,6,0,20
080334B0100,8,16,3,9,44,0,1,5,2,50,36,14,10,17,39,18,5,7,0,23
080897E0101,8,15,3,16,49,0,3,11,4,58,20,16,9,16,40,16,4,5,1,18
080277B0100,8,16,9,9,44,0,1,10,3,68,29,12,17,19,38,12,3,8,2,31
080348C0100,8,16,5,17,59,0,0,7,5,73,31,18,11,24,33,22,4,13,3,24
081695B0100,8,4,4,11,44,0,0,3,5,36,23,14,10,17,20,13,5,5,1,18
082685B0100,8,16,5,14,36,0,1,5,4,45,34,15,5,23,29,15,1,6,1,31
083185B0100,8,6,4,11,35,1,1,7,2,40,33,8,12,15,29,9,8,8,1,14
080377B0100,8,7,2,2,16,0,1,5,2,15,9,11,2,5,9,1,1,4,0,9
081754B0100,8,13,11,14,43,0,3,4,5,69,27,20,17,30,52,24,6,15,0,32
