CLAVE_CASILLA,ID_ESTADO,estrato,PT,MORENA,PT_MORENA,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,MC,PES,RSP,FPM,CNR,NULOS
160001B0100,16,11,20,15,13,20,24,10,3,21,9,27,4,22,10,28,22,21,4
160001C0100,16,11,6,17,23,29,21,3,8,20,22,25,9,16,5,22,21,17,7
160001C0200,16,11,7,12,17,22,31,7,4,18,18,24,13,25,2,27,23,16,5
160002B0100,16,11,9,9,24,25,16,3,4,14,13,24,10,19,7,18,23,24,9
160002C0100,16,11,11,12,24,29,16,10,4,15,16,20,8,17,8,18,18,26,7
160002C0200,16,11,4,14,29,17,27,10,6,22,9,27,9,23,8,23,22,16,7
160003B0100,16,11,13,9,22,11,26,13,12,24,15,20,12,21,11,17,14,8,7
160003C0100,16,11,9,16,15,21,20,8,7,23,12,30,9,11,6,25,26,14,8
160004B0100,16,11,12,11,16,25,16,10,6,19,10,14,2,20,2,21,22,30,8
160004C0100,16,11,2,10,25,20,24,5,7,11,17,22,4,19,8,16,22,25,6
160005B0100,16,23,19,11,25,33,35,10,10,19,20,22,10,17,3,24,22,20,10
160005C0100,16,23,14,11,22,25,24,12,6,23,21,27,20,16,8,27,28,23,11
160006B0100,16,11,10,10,19,28,16,8,2,15,8,16,5,19,3,24,17,20,11
160007B0100,16,11,10,18,36,26,25,5,6,16,14,31,8,15,5,29,24,17,8
160008B0100,16,11,6,4,15,20,13,6,4,19,15,11,4,10,3,18,12,20,6
160009B0100,16,11,3,3,18,10,7,5,4,15,2,6,3,6,3,8,10,15,1
160010B0100,16,11,9,15,25,17,13,15,1,10,18,18,11,13,8,22,12,15,5
160010C0100,16,11,13,8,14,18,25,6,2,12,11,17,10,11,6,20,23,16,7
160011B0100,16,24,13,13,27,22,27,9,8,20,18,39,9,26,10,32,22,44,15
160011C0100,16,24,19,17,36,28,20,11,9,19,25,22,12,23,6,38,26,30,8
160011C0200,16,24,18,9,27,20,26,13,9,22,21,39,12,24,9,33,32,26,14
160012B0100,16,24,14,21,32,31,27,17,11,22,22,24,15,27,12,31,30,33,11
160012C0100,16,24,17,16,30,28,29,9,11,24,22,26,14,29,11,24,24,26,8
160013B0100,16,24,6,14,33,30,16,10,9,27,15,20,6,35,12,26,21,14,8
160013C0100,16,24,15,15,16,26,17,14,7,23,17,27,9,26,8,37,23,30,11
160013C0200,16,24,11,8,36,25,27,6,7,29,22,22,8,19,9,22,25,28,6
160014B0100,16,12,8,15,21,19,13,8,8,26,10,29,4,15,8,32,29,28,4
160014C0100,16,12,10,10,22,27,15,11,10,15,8,32,7,20,9,18,25,24,9
160014C0200,16,12,11,12,13,25,28,6,8,21,11,22,10,17,8,29,25,24,13
160015B0100,16,12,16,14,17,20,20,4,0,22,9,19,4,7,8,22,25,17,6
160016B0100,16,24,15,20,28,29,27,13,11,24,20,26,9,22,11,33,15,25,8
160016C0100,16,24,19,19,24,27,28,9,10,24,24,19,9,18,13,26,28,26,10
160016C0200,16,24,9,14,41,27,33,6,9,20,23,30,14,24,10,27,22,30,7
160017B0100,16,12,7,10,18,18,17,9,7,10,11,22,13,16,7,18,23,19,7
160018B0100,16,24,16,11,25,22,25,11,2,23,14,26,17,22,5,27,21,25,11
160019B0100,16,12,12,12,24,24,17,9,10,21,10,23,7,12,0,8,11,12,5
160020B0100,16,12,5,6,10,6,5,1,4,6,4,6,1,9,3,6,8,7,2
160022B0100,16,12,3,3,7,10,6,2,2,4,5,3,2,4,2,9,9,4,2
160023B0100,16,12,1,1,4,5,8,2,5,6,1,10,2,4,1,5,4,7,3
160025B0100,16,12,2,3,8,4,5,1,1,8,1,4,1,4,2,4,8,4,2
160026B0100,16,2,16,16,22,26,22,7,6,18,21,28,10,19,8,21,21,25,13
160026C0100,16,2,11,16,24,15,25,11,5,17,13,21,9,20,5,21,26,19,8
160026C0200,16,2,11,14,18,21,31,7,1,23,15,21,9,24,15,25,26,20,4
160026S0100,16,2,19,20,55,54,37,20,15,48,37,56,25,52,11,53,58,42,10
160027B0100,16,14,12,17,25,32,29,8,7,20,23,26,10,31,9,26,28,25,15
160027C0100,16,14,11,12,26,30,21,10,9,23,18,24,10,28,15,27,23,25,12
160027C0200,16,14,13,14,27,21,37,5,7,19,15,18,13,31,9,20,22,24,14
160028B0100,16,14,13,22,27,28,24,9,8,23,25,29,9,24,16,29,32,27,7
160028C0100,16,14,16,16,21,30,35,11,13,25,26,22,16,23,10,22,26,26,12
160028C0200,16,14,15,17,34,24,31,11,8,29,17,25,14,24,13,44,27,30,8
