CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
180001B0100,18,8,1,11,3,34,9,0,9,16,2,8,0,10,10,13,1,6,15,20,9,14,7,0,9,22,6,4,0,0,11,1,17,4,0
180002B0100,18,8,1,11,0,28,11,2,16,15,0,10,2,11,9,10,2,7,9,23,5,16,7,0,3,27,9,11,0,0,5,1,20,5,1
180002C0100,18,8,0,15,3,23,7,0,12,9,1,6,1,16,9,17,1,5,14,29,9,19,6,0,6,30,7,10,0,0,4,2,7,8,1
180003B0100,18,8,2,17,0,31,2,0,16,16,2,13,1,10,12,23,1,10,25,34,10,31,2,1,9,31,11,16,0,0,6,6,25,4,0
180003C0100,18,8,1,20,2,34,15,0,15,9,0,9,2,15,9,13,0,7,17,28,11,28,12,0,7,27,14,4,0,0,6,2,21,2,1
180003C0200,18,8,1,21,1,49,12,0,16,12,0,12,0,13,13,17,0,6,11,23,15,34,7,0,13,38,5,11,0,0,11,3,20,8,1
180004B0100,18,8,2,26,1,37,15,1,19,10,2,11,1,20,10,6,0,6,24,38,12,26,5,0,13,35,6,8,0,0,5,2,21,4,2
180005B0100,18,8,1,9,0,30,11,0,10,9,0,8,1,10,7,12,3,10,5,17,11,24,5,0,5,19,4,4,0,0,6,0,17,3,1
180005C0100,18,8,0,13,0,23,7,0,7,13,2,7,3,12,11,14,0,5,9,20,6,17,6,0,8,19,5,8,0,0,8,3,18,4,2
180006B0100,18,1,0,11,1,22,8,0,7,8,1,4,2,7,4,8,2,8,14,21,6,20,6,0,8,17,3,2,0,0,6,1,18,2,1
180007B0100,18,1,0,10,1,27,6,0,6,10,1,12,1,10,6,4,0,5,14,21,9,19,8,0,5,26,3,7,0,0,8,2,18,4,0
180008B0100,18,8,0,10,4,26,8,0,13,10,1,8,0,6,4,6,0,4,7,26,9,13,2,0,4,24,8,0,0,0,3,2,15,1,3
180008C0100,18,8,1,11,0,20,5,0,5,19,1,7,0,9,6,6,0,5,14,28,8,19,4,0,3,13,4,6,0,0,5,1,10,3,2
180009B0100,18,1,1,15,2,45,17,0,15,15,0,7,1,12,20,12,1,7,17,36,10,32,7,0,13,35,9,2,0,0,8,1,29,6,0
180009C0100,18,1,0,13,1,45,11,0,19,12,2,7,2,17,9,15,1,10,19,40,15,23,11,0,6,38,5,3,0,0,2,1,33,4,3
180010B0100,18,1,1,8,1,30,10,0,15,11,1,9,2,11,5,10,0,6,17,27,7,26,4,0,7,29,2,6,0,0,6,3,15,3,0
180010C0100,18,1,0,10,0,21,15,0,8,8,1,14,1,5,10,8,0,5,12,20,9,25,5,0,5,29,5,9,0,0,8,0,18,1,1
180011B0100,18,1,1,7,0,16,5,0,8,10,1,3,0,10,3,5,1,2,13,10,5,8,6,0,3,12,1,3,0,0,6,0,10,2,1
180012B0100,18,1,1,17,0,33,14,0,13,13,0,7,1,12,7,12,0,7,20,34,8,25,7,0,8,27,8,14,0,0,6,2,16,6,0
180013B0100,18,1,0,14,1,30,8,0,14,14,1,8,0,9,13,9,1,8,13,31,10,19,7,0,7,26,6,11,0,0,7,2,17,7,0
180014B0100,18,1,0,6,1,13,4,0,6,8,2,4,0,6,5,5,0,2,3,11,4,9,3,1,3,7,7,1,0,0,4,1,11,1,0
180015B0100,18,1,1,1,0,17,9,0,9,8,0,12,0,11,7,9,0,4,13,14,13,18,4,1,3,22,3,6,0,0,5,0,16,4,0
180016B0100,18,1,1,7,1,24,9,0,10,8,1,6,0,14,8,4,2,8,12,25,9,28,4,0,5,31,4,6,0,0,5,1,20,4,0
180016C0100,18,1,0,10,1,24,2,0,15,14,0,7,1,6,12,8,2,8,18,18,3,25,5,0,6,35,5,6,0,0,9,1,16,2,1
180017B0100,18,1,0,8,0,16,15,0,8,9,2,6,0,8,6,7,0,8,12,26,10,14,5,1,5,23,4,4,1,0,3,0,20,0,1
180017C0100,18,1,0,8,0,26,8,0,10,10,3,4,0,8,9,6,2,5,11,23,9,13,5,0,3,19,7,2,0,0,3,1,17,1,0
180018B0100,18,8,1,8,0,24,7,0,12,7,1,6,1,7,6,10,0,4,13,18,9,18,4,0,6,17,4,8,0,0,5,0,22,3,1
180018C0100,18,8,1,5,2,29,7,0,8,9,1,6,0,9,11,13,0,9,6,17,4,22,5,1,4,25,7,7,0,0,1,1,19,5,0
