CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PES,RSP,FPM,CNR,NULOS
320001B0100,32,9,2,1,15,13,3,0,3,5,3,0,9,2,21,6,1,5,6,3,21,13,2,1,7,5,46,4,4,0,3,13,12
320002B0100,32,5,2,0,18,17,1,1,3,8,2,1,6,2,22,13,6,4,3,2,24,20,4,5,3,7,65,3,4,0,2,16,10
320003B0100,32,5,0,1,10,8,0,0,1,13,2,1,5,3,15,11,3,9,4,1,19,23,3,2,5,9,58,3,1,0,1,12,9
320003C0100,32,5,1,2,7,16,1,0,1,8,5,0,7,3,21,5,5,13,2,0,21,15,6,2,6,12,49,2,1,0,3,15,6
320004B0100,32,5,1,1,8,12,2,0,0,7,3,0,8,3,16,8,8,7,4,0,18,15,4,3,1,4,67,2,5,0,1,12,10
320005B0100,32,2,0,0,5,10,3,0,1,5,2,2,3,3,8,1,0,6,5,0,19,9,3,0,2,1,32,1,1,0,0,9,7
320006B0100,32,5,2,3,19,25,4,1,0,10,1,2,8,3,15,12,3,12,11,0,29,29,5,2,10,12,65,2,1,0,10,18,15
320007B0100,32,9,0,0,5,10,5,0,0,6,2,2,4,1,9,6,2,5,6,0,22,17,3,1,3,4,28,1,0,0,3,9,4
320008B0100,32,9,0,4,6,19,3,1,1,11,2,3,7,3,17,11,9,8,6,3,32,23,3,3,11,7,76,7,5,0,1,18,10
320009B0100,32,9,0,0,3,8,0,0,0,2,2,0,2,2,6,3,1,7,5,0,17,7,3,1,4,5,25,0,0,0,1,7,3
320010B0100,32,2,0,1,5,20,1,0,1,4,0,3,6,0,7,5,3,5,3,3,17,10,6,1,5,3,37,0,1,0,1,13,8
320013B0100,32,5,2,3,8,19,1,1,1,10,2,0,3,1,13,10,4,5,2,2,34,23,6,1,10,9,78,1,0,0,6,16,8
320014B0100,32,9,5,3,12,21,2,2,0,10,0,3,7,5,17,7,7,12,10,0,37,31,9,4,7,7,83,2,2,0,5,14,13
