CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CNR,NULOS
080001B0100,8,2,4,16,35,0,0,5,2,44,17,11,10,10,25,13,3,5,3,20
080001C0100,8,2,3,7,37,0,0,5,2,33,26,10,7,16,22,4,4,5,1,23
080002B0100,8,11,10,13,51,0,5,4,3,62,33,18,9,23,39,13,5,10,4,25
080002S0100,8,2,10,18,99,0,2,13,9,131,62,45,20,38,79,32,8,12,2,49
080003B0100,8,2,5,12,40,1,2,3,0,49,26,11,9,17,28,17,2,7,1,19
080003C0100,8,2,5,4,25,0,0,8,3,46,18,15,7,17,32,16,4,7,0,22
080004B0100,8,2,5,10,33,0,1,3,6,39,18,10,7,10,18,13,1,8,1,18
080004C0100,8,2,2,8,33,1,4,4,1,30,22,14,5,12,21,13,3,8,2,13
080005B0100,8,2,4,6,29,0,1,3,3,44,17,11,6,17,27,16,3,6,1,22
080005C0100,8,2,3,10,33,0,0,5,0,42,17,15,9,8,26,13,3,5,1,18
080006B0100,8,11,6,6,50,0,2,5,6,61,33,26,10,19,47,17,5,8,3,30
080006C0100,8,11,7,13,54,1,1,7,4,60,37,12,9,23,33,21,5,7,2,33
080006C0200,8,11,8,13,46,0,0,8,6,59,32,18,13,22,39,13,6,8,1,24
080007B0100,8,2,6,8,28,0,2,3,1,32,16,8,11,9,29,11,1,4,2,18
080007C0100,8,2,6,7,36,0,1,5,1,40,16,11,9,7,31,10,4,9,0,10
080008B0100,8,11,5,4,55,1,5,9,5,62,28,20,15,25,46,22,9,12,2,25
080008C0100,8,11,4,11,51,0,1,10,2,62,35,14,8,19,44,15,9,8,1,25
080010B0100,8,2,1,2,13,0,0,0,0,25,11,6,3,11,9,2,1,1,0,4
080011B0100,8,2,4,1,12,0,0,2,2,11,3,2,0,3,9,2,1,3,0,4
080012B0100,8,2,3,3,20,0,2,3,2,21,10,7,5,6,13,2,1,5,1,9
080013B0100,8,2,2,7,29,0,0,5,4,51,17,10,9,15,33,18,2,9,2,18
080014B0100,8,2,6,9,26,1,4,5,1,46,22,12,7,16,21,9,3,8,0,19
080015B0100,8,2,2,3,14,0,0,3,1,25,8,8,4,9,9,5,2,1,2,5
080016B0100,8,2,3,6,26,0,0,3,1,29,16,7,4,12,18,9,1,5,1,12
080017B0100,8,14,4,19,49,0,0,8,3,88,40,19,10,24,48,16,4,6,3,24
